article_id,tier,journal,status,bytes,dest_filename,url_used,title,author1,year
ART-0129,VC_pass,nejm,error,0,Bateman_2018#@#ART-0129@#@.pdf,https://www.nejm.org/doi/pdf/10.1056/NEJMoa1715275,As-needed budesonide-formoterol versus maintenance budesonide in mild asthma,Bateman,2018
ART-0134,VC_pass,nejm,error,0,Beasley_2019#@#ART-0134@#@.pdf,https://www.nejm.org/doi/pdf/10.1056/NEJMoa1901963,Controlled trial of budesonide-formoterol as needed for mild asthma,Beasley,2019
ART-0156,VC_pass,nejm,timeout,0,Biondi_2018#@#ART-0156@#@.pdf,https://www.nejm.org/doi/10.1056/NEJMcp1709318,Subclinical hyperthyroidism,Biondi,2018
ART-0657,VC_pass,nejm,timeout,0,Kalyani_2021#@#ART-0657@#@.pdf,https://www.nejm.org/doi/pdf/10.1056/NEJMcp2000280?query=featured_home,Kalyani RR: Glucose-lowering drugs to reduce cardiovascular risk in type 2 diabetes,Kalyani,2021
ART-0129,VC_pass,nejm,error,0,Bateman_2018#@#ART-0129@#@.pdf,https://www.nejm.org/doi/pdf/10.1056/NEJMoa1715275,As-needed budesonide-formoterol versus maintenance budesonide in mild asthma,Bateman,2018
ART-0134,VC_pass,nejm,error,0,Beasley_2019#@#ART-0134@#@.pdf,https://www.nejm.org/doi/pdf/10.1056/NEJMoa1901963,Controlled trial of budesonide-formoterol as needed for mild asthma,Beasley,2019
ART-0156,VC_pass,nejm,timeout,0,Biondi_2018#@#ART-0156@#@.pdf,https://www.nejm.org/doi/10.1056/NEJMcp1709318,Subclinical hyperthyroidism,Biondi,2018
ART-0129,VC_pass,nejm,ok,309341,Bateman_2018#@#ART-0129@#@.pdf,https://www.nejm.org/doi/pdf/10.1056/NEJMoa1715275,As-needed budesonide-formoterol versus maintenance budesonide in mild asthma,Bateman,2018
ART-0134,VC_pass,nejm,ok,375349,Beasley_2019#@#ART-0134@#@.pdf,https://www.nejm.org/doi/pdf/10.1056/NEJMoa1901963,Controlled trial of budesonide-formoterol as needed for mild asthma,Beasley,2019
ART-0156,VC_pass,nejm,timeout,0,Biondi_2018#@#ART-0156@#@.pdf,https://www.nejm.org/doi/10.1056/NEJMcp1709318,Subclinical hyperthyroidism,Biondi,2018
ART-0657,VC_pass,nejm,timeout,0,Kalyani_2021#@#ART-0657@#@.pdf,https://www.nejm.org/doi/pdf/10.1056/NEJMcp2000280?query=featured_home,Kalyani RR: Glucose-lowering drugs to reduce cardiovascular risk in type 2 diabetes,Kalyani,2021
ART-0156,VC_pass,nejm,timeout,0,Biondi_2018#@#ART-0156@#@.pdf,https://www.nejm.org/doi/pdf/10.1056/NEJMcp1709318,Subclinical hyperthyroidism,Biondi,2018
ART-0657,VC_pass,nejm,timeout,0,Kalyani_2021#@#ART-0657@#@.pdf,https://www.nejm.org/doi/pdf/10.1056/NEJMcp2000280,Kalyani RR: Glucose-lowering drugs to reduce cardiovascular risk in type 2 diabetes,Kalyani,2021
ART-0751,VC_pass,nejm,timeout,0,Lederer_2018#@#ART-0751@#@.pdf,https://www.nejm.org/doi/pdf/10.1056/NEJMra1705751,Idiopathic pulmonary fibrosis,Lederer,2018
