Action,Reference,OldValue,NewValue
Dropped fragment stub,2009;34(7):697-700.,,
SourceType AFP fix,"Ely JW, Rosenfeld S, Seabury Stone M. Diagnosis and management of tinea infectio",Other Journal,AFP
SourceType AFP fix,Erlich DR: Baloxavir marboxil (Xofluza) for influenza. Am Fam Physician 2019;100,Other Journal,AFP
SourceType AFP fix,"Holder S, Narula NS. Common sleep disorders in adults: diagnosis and management.",Other Journal,AFP
SourceType AFP fix,"Mercado MG, Smith DK, Guard EL. Acute kidney injury: diagnosis and management. A",Other Journal,AFP
SourceType AFP fix,"Powell-Dunford N, Adams JR, Grace C. Medical advice for commercial air travel. A",Other Journal,AFP
SourceType AFP fix,"Rathjen NA, Shahbodaghi SD, Brown JA. Hypothermia and cold weather injuries. Am ",Other Journal,AFP
SourceType AFP fix,"Saguil A, Farnell EA IV, Jordan TS. Multiple sclerosis: a primary care perspecti",Other Journal,AFP
SourceType Guideline fix,"Curtis KM, Jatlaoui TC, Tepper NK, et al: US selected practice recommendations f",Other Journal,Guideline/Org
SourceType Guideline fix,"Freedman MS, Hunter P, Ault K, Kroger A: Advisory Committee on Immunization Prac",Other Journal,Guideline/Org
SourceType Guideline fix,"Grohskopf LA, Blanton LH, Ferdinands JM, et al. Prevention and control of season",Other Journal,Guideline/Org
SourceType Guideline fix,"Kloppenburg M, Kroon FP, Blanco FJ, et al: 2018 Update of the EULAR recommendati",Other Journal,Guideline/Org
SourceType Guideline fix,"Matiasz R, Rigolin VH: 2017 focused update for management of patients with valvu",Other Journal,Guideline/Org
SourceType Guideline fix,"Mattson CL, Chowdhury F, Gilson TP. Notes from the field: trends in gabapentin d",Other Journal,Guideline/Org
SourceType Guideline fix,"Meites E, Kempe A, Markowitz LE: Use of a 2-dose schedule for human papillomavir",Other Journal,Guideline/Org
TextbookRestored,American Psychiatric Association: Diagnostic and Statistical Manual of Mental Di,merged,1x|Supplementary
TextbookRestored,American Psychiatric Association: Diagnostic and Statistical Manual of Mental Di,merged,1x|Supplementary
TextbookRestored,"American Psychiatric Association: Diagnostic and Statistical Manual of Mental
Di",merged,1x|Supplementary
TextbookRestored,American Psychiatric Association: Diagnostic and Statistical Manual of Mental Di,merged,1x|Supplementary
TextbookRestored,American Psychiatric Association. Diagnostic and Statistical Manual of Mental Di,merged,1x|Supplementary
TextbookRestored,Dinulos JGH: Habif’s Clinical Dermatology: A Color Guide to Diagnosis and Therap,merged,1x|Supplementary
TextbookRestored,"Dinulos
JGH: Habif’s Clinical Dermatology: A Color Guide to Diagnosis and Therap",merged,1x|Supplementary
TextbookRestored,"Dinulos
JGH: Habif’s Clinical Dermatology: A Color Guide to Diagnosis and Therap",merged,1x|Supplementary
TextbookRestored,"Dinulos JGH: Habif’s Clinical
Dermatology: A Color Guide to Diagnosis and Therap",merged,1x|Supplementary
