Year,QuestionNum,QuestionID,BodySystem
2022,1,Q2022-001,Cardiovascular
2022,2,Q2022-002,Respiratory
2022,3,Q2022-003,Gastrointestinal
2022,4,Q2022-004,Psychogenic
2022,5,Q2022-005,Musculoskeletal
2022,6,Q2022-006,Endocrine
2022,7,Q2022-007,Nonspecific
2022,8,Q2022-008,Reproductive: Male
2022,9,Q2022-009,Patient-Based Systems
2022,10,Q2022-010,Integumentary
2022,11,Q2022-011,Nephrologic
2022,12,Q2022-012,Reproductive: Female
2022,13,Q2022-013,Cardiovascular
2022,14,Q2022-014,Respiratory
2022,15,Q2022-015,Musculoskeletal
2022,16,Q2022-016,Gastrointestinal
2022,17,Q2022-017,Endocrine
2022,18,Q2022-018,Nonspecific
2022,19,Q2022-019,Population-Based Care
2022,20,Q2022-020,Neurologic
2022,21,Q2022-021,Hematologic/ Immune
2022,22,Q2022-022,Psychogenic
2022,23,Q2022-023,Cardiovascular
2022,24,Q2022-024,Integumentary
2022,25,Q2022-025,Respiratory
2022,26,Q2022-026,Gastrointestinal
2022,27,Q2022-027,Musculoskeletal
2022,28,Q2022-028,Endocrine
2022,29,Q2022-029,Nonspecific
2022,30,Q2022-030,Cardiovascular
2022,31,Q2022-031,Gastrointestinal
2022,32,Q2022-032,Respiratory
2022,33,Q2022-033,Musculoskeletal
2022,34,Q2022-034,Nonspecific
2022,35,Q2022-035,Population-Based Care
2022,36,Q2022-036,Integumentary
2022,37,Q2022-037,Nephrologic
2022,38,Q2022-038,Special Sensory
2022,39,Q2022-039,Cardiovascular
2022,40,Q2022-040,Psychogenic
2022,41,Q2022-041,Respiratory
2022,42,Q2022-042,Musculoskeletal
2022,43,Q2022-043,Endocrine
2022,44,Q2022-044,Patient-Based Systems
2022,45,Q2022-045,Neurologic
2022,46,Q2022-046,Gastrointestinal
2022,47,Q2022-047,Nonspecific
2022,48,Q2022-048,Cardiovascular
2022,49,Q2022-049,Respiratory
2022,50,Q2022-050,Integumentary
2022,51,Q2022-051,Musculoskeletal
2022,52,Q2022-052,Population-Based Care
2022,53,Q2022-053,Hematologic/ Immune
2022,54,Q2022-054,Reproductive: Female
2022,55,Q2022-055,Nonspecific
2022,56,Q2022-056,Endocrine
2022,57,Q2022-057,Psychogenic
2022,58,Q2022-058,Musculoskeletal
2022,59,Q2022-059,Patient-Based Systems
2022,60,Q2022-060,Respiratory
2022,61,Q2022-061,Cardiovascular
2022,62,Q2022-062,Nephrologic
2022,64,Q2022-064,Population-Based Care
2022,65,Q2022-065,Endocrine
2022,66,Q2022-066,Respiratory
2022,67,Q2022-067,Musculoskeletal
2022,68,Q2022-068,Integumentary
2022,69,Q2022-069,Cardiovascular
2022,70,Q2022-070,Respiratory
2022,71,Q2022-071,Hematologic/ Immune
2022,72,Q2022-072,Psychogenic
2022,73,Q2022-073,Population-Based Care
2022,74,Q2022-074,Nonspecific
2022,75,Q2022-075,Musculoskeletal
2022,76,Q2022-076,Respiratory
2022,77,Q2022-077,Cardiovascular
2022,78,Q2022-078,Neurologic
2022,79,Q2022-079,Integumentary
2022,80,Q2022-080,Nonspecific
2022,81,Q2022-081,Endocrine
2022,82,Q2022-082,Musculoskeletal
2022,83,Q2022-083,Patient-Based Systems
2022,84,Q2022-084,Respiratory
2022,85,Q2022-085,Cardiovascular
2022,86,Q2022-086,Gastrointestinal
2022,87,Q2022-087,Population-Based Care
2022,88,Q2022-088,Reproductive: Female
2022,89,Q2022-089,Nonspecific
2022,90,Q2022-090,Musculoskeletal
2022,91,Q2022-091,Cardiovascular
2022,92,Q2022-092,Psychogenic
2022,93,Q2022-093,Respiratory
2022,94,Q2022-094,Population-Based Care
2022,95,Q2022-095,Special Sensory
2022,96,Q2022-096,Nephrologic
2022,98,Q2022-098,Endocrine
2022,99,Q2022-099,Cardiovascular
2022,100,Q2022-100,Patient-Based Systems
2022,101,Q2022-101,Respiratory
2022,102,Q2022-102,Musculoskeletal
2022,103,Q2022-103,Nonspecific
2022,104,Q2022-104,Gastrointestinal
2022,105,Q2022-105,Psychogenic
2022,106,Q2022-106,Hematologic/ Immune
2022,107,Q2022-107,Cardiovascular
