Subcategory,PrimaryCategory,BlueprintCategory,Total_Questions_6yr,Avg_Per_Exam,Trend,Trend_Slope,Yield_Score,Top_QuestionTypes,Key_ClinicalFocuses,Tier_orig,Yield_Score_v2,Tier_v2,Tier_change
Lung Cancer Screening,Population-Based Care,Preventive Care,7,1.2,Rising ðŸ“ˆ,0.143,1.6,Screening,Lung cancer screening in former smokers | USPSTF lung cancer screening criteria | Number needed to screen calculation,Tier 1,1.6,Tier 1,
Cervical Cancer Screening,Population-Based Care,Preventive Care,4,0.7,Rising ðŸ“ˆ,0.229,1.35,"Screening, Management",HPV co-testing initiation age cervical cancer | Cervical cancer screening guidelines and indications | Quality improvement for cancer screening rates,Tier 1,1.35,Tier 1,
Polycystic Ovary Syndrome,Reproductive:Female,Chronic Care Management,4,0.7,Rising ðŸ“ˆ,0.229,1.35,"Diagnosis, Management",PCOS diagnosis using Rotterdam criteria | First-line PCOS treatment selection | First-line treatment for PCOS-related infertility,Tier 1,1.35,Tier 1,
Osteoporosis Management,Musculoskeletal,Chronic Care Management,4,0.7,Rising ðŸ“ˆ,0.229,1.35,Management,Duration of bisphosphonate therapy in osteoporosis | Osteoporosis treatment initiation based on FRAX risk | Bisphosphonate intolerance and alternative therapy,Tier 1,1.35,Tier 1,
Deep Vein Thrombosis Management,Cardiovascular,Acute Care and Diagnosis,3,0.5,Rising ðŸ“ˆ,0.257,1.27,Management,Anticoagulation duration for provoked DVT | DVT anticoagulation in advanced CKD | Initial anticoagulation for unprovoked DVT,Tier 1,1.27,Tier 1,
Smoking Cessation,Psychogenic,Chronic Care Management,4,0.7,Rising ðŸ“ˆ,0.171,1.18,"Pharmacology, Management",Nicotinic receptor partial agonist for smoking cessation | Pharmacologic agents for smoking cessation | Optimal pharmacotherapy for smoking cessation,Tier 1,1.18,Tier 1,
Asthma Management,Respiratory,Chronic Care Management,4,0.7,Rising ðŸ“ˆ,0.171,1.18,"Management, Pharmacology",Asthma control and exacerbation prevention | SMART therapy regimen selection asthma | Step-up therapy for persistent asthma,Tier 1,1.18,Tier 1,
Celiac Disease Diagnosis,Gastrointestinal,Acute Care and Diagnosis,4,0.7,Rising ðŸ“ˆ,0.171,1.18,Diagnosis,False-negative celiac serology interpretation | Negative predictive value celiac disease testing | Interpreting false negative celiac screening,Tier 1,1.18,Tier 1,
Osteoporosis Screening,Musculoskeletal,Preventive Care,3,0.5,Rising ðŸ“ˆ,0.2,1.1,Screening,DEXA screening timing in postmenopausal women | USPSTF osteoporosis screening risk factors | USPSTF osteoporosis screening guidelines postmenopausal women,Tier 1,1.1,Tier 1,
COPD Management,Respiratory,Chronic Care Management,5,0.8,Stable âž¡ï¸,0.086,1.09,"Management, Pharmacology",GOLD stage C COPD initial pharmacotherapy | COPD pharmacotherapy escalation strategy | Mortality reduction in severe COPD,Tier 1,1.09,Tier 1,
Immunization in Immunocompromised Patients,Gastrointestinal,Preventive Care,2,0.3,Rising ðŸ“ˆ,0.229,1.02,Management,Live vaccine contraindication during chemotherapy | Pneumococcal vaccination in immunosuppressed patients,Tier 1,1.02,Tier 1,
Acute Limb Ischemia,Cardiovascular,Emergent and Urgent Care,2,0.3,Rising ðŸ“ˆ,0.229,1.02,Management,Acute lower extremity arterial occlusion management | Acute limb ischemia emergency management,Tier 1,1.02,Tier 1,
Severe Hyponatremia Management,Cardiovascular,Emergent and Urgent Care,2,0.3,Rising ðŸ“ˆ,0.229,1.02,Management,Symptomatic hyponatremia treatment dosing | Acute symptomatic hyponatremia treatment,Tier 1,1.02,Tier 1,
Delirium Management,Cardiovascular,Acute Care and Diagnosis,2,0.3,Rising ðŸ“ˆ,0.229,1.02,Pharmacology,Antipsychotic choice for acute agitation in delirium | Antipsychotic selection for delirium,Tier 1,1.02,Tier 1,
Concussion Management,Musculoskeletal,Acute Care and Diagnosis,2,0.3,Rising ðŸ“ˆ,0.229,1.02,Management,Initial management of sports-related concussion | Mild head injury and concussion disposition,Tier 1,1.02,Tier 1,
Cannabinoid Hyperemesis Syndrome,Psychogenic,Acute Care and Diagnosis,2,0.3,Rising ðŸ“ˆ,0.229,1.02,"Diagnosis, Management",Recognizing cannabinoid hyperemesis syndrome presentation | Treatment of cannabis hyperemesis syndrome,Tier 1,1.02,Tier 1,
Alcohol Use Screening and Intervention,Population-Based Care,Preventive Care,2,0.3,Rising ðŸ“ˆ,0.229,1.02,Management,Brief intervention for at-risk alcohol use | USPSTF-recommended intervention for positive alcohol screening,Tier 1,1.02,Tier 1,
Stable Angina Management,Cardiovascular,Chronic Care Management,3,0.5,Rising ðŸ“ˆ,0.143,0.93,"Pharmacology, Management",Optimizing therapy in refractory angina | Beta-blocker selection for angina | Antianginal therapy in stable CAD,Tier 2,0.93,Tier 2,
