Question ID,ExamYear,QuestionStem,CorrectAnswer,Explanation
Q2025-001,2025,Your practice management team has reviewed the clinic-wide cancer screening rates and found that the frequency of cervical cancer screening appears to have fallen behind other cancer screenings. You are asked to lead a quality improvement project to increase rates of cervical cancer screening for appropriate patients. Which one of the following would be the most appropriate first step?,,
Q2025-002,2025,"You are seeing a 32-year-old male in the office. His most recent hemoglobin A1c was 6.1%, indicating prediabetes. Which one of the following is most likely to prevent the development of diabetes? On examination, his vital signs are unremarkable. His right lateral foot shows significant bruising and swelling. The skin is intact. Range of movement is impaired due to the swelling and discomfort, and sensation and circulation are intact. An x-ray of the right foot is shown below. Which one of the following is the most appropriate next step in management?",,
Q2025-004,2025,"A 78-year-old female presents to the emergency department with a 2-day history of cough and fever and a 2-hour history of confusion. Her vital signs include a weight of 67 kg (148 lb), a temperature of 38.8 �C (101.8 �F), a pulse rate of 122 beats/min, and a blood pressure of 72/44 mm Hg with a mean arterial pressure (MAP) of 53 mm Hg. A chest x-ray shows left lower lobe pneumonia. She is given 2 L of lactated Ringer solution and started on broad-spectrum antibiotics for sepsis secondary to pneumonia. Her blood pressure 3 hours later is 82/46 mm Hg with a MAP of 58 mm Hg. Which one of the following is the most appropriate immediate next step in management?",,
Q2025-005,2025,"You are called to the emergency department (ED) to admit a 48-year-old female with a past medical history of hyperthyroidism who presented with agitation, palpitations, and diarrhea. The ED team diagnosed thyroid storm secondary to the abrupt discontinuation of the patient's methimazole 2 weeks ago due to a lapse in insurance. On examination, she is tachycardic and hypertensive but can sustain a conversation without dyspnea. Laboratory studies are significant for elevated free T3 and T4 levels and an undetectable TSH level. A urine pregnancy test is negative. Which one of the following would be the most appropriate initial step in management?",,
Q2025-007,2025,"A 56-year-old female with moderately controlled type 2 diabetes presents with painful diabetic neuropathy in her feet. You address her diabetic control and other risk factors, but she says the pain continues and is affecting her life adversely. Which one of the following is considered a first-line treatment for pain relief in this condition? Which one of the following would be the most appropriate next step in the workup?",,
Q2025-009,2025,"A 68-year-old female with previously diagnosed immune thrombocytopenia presents to your office to establish care. She has no current bleeding. A CBC is normal except for a platelet count of 47,000/mm3 (N 130,000�400,000). You refer her to a hematologist for long-term management. Which one of the following is the most appropriate treatment for this patient's current thrombocytopenia?",,
Q2025-011,2025,"A 40-year-old male with type 2 diabetes presents to the emergency department with chest pain and shortness of breath. The patient has normal vital signs. A physical examination and laboratory tests, including serial troponin levels, are normal. Outpatient records from about 6 months ago include a normal cardiac stress test that was negative for myocardial ischemia. Which one of the following would be the most appropriate next step in evaluation? Which one of the following medications should you recommend for this patient?",,
Q2025-013,2025,"A 15-year-old male presents to your office with an intensely pruritic rash 2 days after returning from a camping trip in the woods. On examination you observe a rash on the hands, arms, face, and genitals with vesicles and a few bullae. Which one of the following would be the most appropriate treatment option?",,
Q2025-014,2025,"A 50-year-old male sees you for follow-up of a pulmonary nodule. He recently presented to the emergency department (ED) after a motor vehicle accident in which he sustained a broken clavicle. A CT scan in the ED showed a 6-mm, incidental, solid pulmonary nodule and he was advised to follow up with his primary care physician. Today the patient is asymptomatic other than muscle soreness. He does not have any history of smoking. An examination does not reveal any enlarged lymph nodes. Which one of the following would be the most appropriate next step in management? Sodium  137 mEq/L (N 135�145) Potassium  4.9 mEq/L (N 3.8�5.0) Chloride  101 mEq/L (N 98�107) Creatinine  1.0 mg/dL (N 0.3�1.5) BUN  37 mg/dL (N 10�20) Calcium  9.1 mg/dL (N 9.0�10.5) Hemoglobin  8.8 g/dL (N 12.0�15.0) Which one of the following would be the most appropriate next step in management?",,
Q2025-016,2025,"You see a 6-month-old infant for a routine visit. The child has started teething and the parents are concerned about preventing cavities, as their municipality does not fluoridate the water. In addition to providing daily oral fluoride supplementation, which one of the following should you recommend?",,
