Cluster,ArchetypeName,Size,PctOfExam,TopTerms,TopSubcategories,TopBodySystems,YearDistribution
0,Chronic Disease Management,56,4.7,"health, health maintenance, maintenance, routine health, routine, maintenance visit, visit, sees, asks, annual, annual health, hepatitis, sees routine, years, does",Pharmacology(15); Management(13); Screening(9); Prevention(5),Cardiovascular(10); Patient-Based Systems(8); Psychogenic(7); Respiratory(6),"{2020: np.int64(11), 2021: np.int64(11), 2022: np.int64(11), 2023: np.int64(9), 2024: np.int64(11), 2025: np.int64(3)}"
1,Pharmacology & Drug Selection,56,4.7,"diabetes, type, type diabetes, mellitus, diabetes mellitus, medications, metformin, hypertension, 1c, hemoglobin, insulin, hypertension type, diabetes medications, metformin glucophage, glucophage",Pharmacology(26); Diagnosis(9); Management(7); Treatment(4),Endocrine(19); Cardiovascular(12); Integumentary(6); Respiratory(3),"{2020: np.int64(8), 2021: np.int64(16), 2022: np.int64(10), 2023: np.int64(6), 2024: np.int64(8), 2025: np.int64(8)}"
2,Chronic Disease Management,35,2.9,"disease, kidney, kidney disease, chronic kidney, chronic, stage, patients, diabetes, atrial fibrillation, fibrillation, atrial, hypertension, recommended, stage chronic, warfarin",Pharmacology(11); Management(7); Interpretation(5); Treatment(3),Nephrologic(14); Cardiovascular(12); Musculoskeletal(3); Gastrointestinal(3),"{2020: np.int64(7), 2021: np.int64(3), 2022: np.int64(7), 2023: np.int64(7), 2024: np.int64(6), 2025: np.int64(5)}"
3,Pediatric Care & Development,59,4.9,"child, parents, brought, mother, brought parents, infant, check, age, development, child check, child visit, family, visit, childâ, care",Management(15); Pharmacology(13); Screening(8); Prevention(7),Respiratory(12); Psychogenic(8); Population-Based Care(6); Gastrointestinal(6),"{2020: np.int64(11), 2021: np.int64(13), 2022: np.int64(7), 2023: np.int64(7), 2024: np.int64(9), 2025: np.int64(12)}"
4,General Adult Medicine -- Undifferentiated,77,6.4,"min, oxygen, chest, respiratory, oxygen saturation, saturation, beats min, beats, cough, air, room, room air, breath, hg, mm hg",Pharmacology(23); Management(21); Diagnosis(10); Workup(9),Respiratory(46); Cardiovascular(18); Nonspecific(6); Endocrine(2),"{2020: np.int64(22), 2021: np.int64(14), 2022: np.int64(11), 2023: np.int64(14), 2024: np.int64(9), 2025: np.int64(7)}"
5,Acute / Emergent Presentation,149,12.4,"pain, right, left, injury, tenderness, arm, swelling, finger, knee, hand, foot, lateral, lower, joint, ankle",Management(39); Diagnosis(33); Treatment(30); Pharmacology(18),Musculoskeletal(80); Neurologic(17); Injuries/Musculoskeletal(14); Integumentary(10),"{2020: np.int64(24), 2021: np.int64(29), 2022: np.int64(21), 2023: np.int64(24), 2024: np.int64(26), 2025: np.int64(25)}"
6,Pharmacology & Drug Selection,477,39.8,"symptoms, medications, therapy, does, evaluation, sees, cause, patients, disorder, negative, months, initial, loss, rash, patientâ",Pharmacology(166); Management(90); Diagnosis(57); Treatment(46),Respiratory(64); Cardiovascular(60); Psychogenic(47); Nonspecific(41),"{2020: np.int64(69), 2021: np.int64(79), 2022: np.int64(93), 2023: np.int64(88), 2024: np.int64(81), 2025: np.int64(67)}"
7,Screening & Prevention Guidelines,31,2.6,"cancer, cancer screening, breast, screening, metastatic, colon, breast cancer, cervical, years, cervical cancer, colon cancer, lung cancer, family, care, end",Screening(11); Management(5); Workup(4); Prognosis/Risk(3),Gastrointestinal(10); Patient-Based Systems(8); Population-Based Care(6); Sexual and Reproductive(2),"{2020: np.int64(3), 2021: np.int64(3), 2022: np.int64(3), 2023: np.int64(11), 2024: np.int64(5), 2025: np.int64(6)}"
8,General Adult Medicine -- Undifferentiated,80,6.7,"risk, weeks, vaccine, effective, gestation, weeks gestation, received, gravida, gravida para, para, influenza, topical, vaccines, infection, increased risk",Pharmacology(20); Prevention(17); Management(10); Screening(9),Nonspecific(15); Respiratory(12); Gastrointestinal(12); Reproductive: Female(9),"{2020: np.int64(15), 2021: np.int64(10), 2022: np.int64(16), 2023: np.int64(15), 2024: np.int64(10), 2025: np.int64(14)}"
9,Screening & Prevention Guidelines,42,3.5,"preventive, task force, services task, preventive services, force, task, services, screening, force recommends, cancer, recommends, guidelines, health, according preventive, force guidelines",Screening(32); Pharmacology(4); Management(2); Counseling(1),Population-Based Care(21); Cardiovascular(6); Respiratory(5); Endocrine(3),"{2020: np.int64(8), 2021: np.int64(7), 2022: np.int64(3), 2023: np.int64(4), 2024: np.int64(10), 2025: np.int64(10)}"
10,Acute / Emergent Presentation,87,7.2,"dl, mg dl, mg, department, emergency department, emergency, ed, laboratory, mm, department ed, brought emergency, mm hg, hg, elevated, creatinine",Pharmacology(32); Diagnosis(15); Management(14); Workup(13),Cardiovascular(19); Endocrine(17); Nonspecific(11); Gastrointestinal(9),"{2020: np.int64(12), 2021: np.int64(8), 2022: np.int64(12), 2023: np.int64(12), 2024: np.int64(20), 2025: np.int64(23)}"
11,Pharmacology & Drug Selection,51,4.2,"mg, daily, mg daily, mg dl, 10, twice daily, 10 mg, dl, twice, 20 mg, mg twice, medications, diabetes, 50, 20",Pharmacology(22); Management(13); Diagnosis(4); Workup(3),Cardiovascular(15); Nonspecific(7); Musculoskeletal(6); Endocrine(5),"{2020: np.int64(10), 2021: np.int64(7), 2022: np.int64(6), 2023: np.int64(3), 2024: np.int64(5), 2025: np.int64(20)}"
