
=== Run started 2026-02-24 08:57:22.860824 ===
[OK] Q2020-001 | Chronic Care Management | Hypertension Management | Pharmacology | conf=High
[OK] Q2020-002 | Preventive Care | Influenza Chemoprophylaxis | Management | conf=High
[OK] Q2020-003 | Acute Care and Diagnosis | Pelvic Inflammatory Disease | Management | conf=High
[OK] Q2020-004 | Chronic Care Management | Gender Dysphoria Management | Management | conf=High
[OK] Q2020-005 | Preventive Care | Cervical Cancer Screening | Screening | conf=High
[OK] Q2020-006 | Chronic Care Management | PPI Adverse Effects | Pharmacology | conf=High
[OK] Q2020-007 | Acute Care and Diagnosis | Hypocalcemia | Diagnosis | conf=High
[OK] Q2020-008 | Chronic Care Management | Insomnia Management | Management | conf=High
[OK] Q2020-009 | Emergent and Urgent Care | Superior Vena Cava Syndrome | Management | conf=High
[OK] Q2020-010 | Emergent and Urgent Care | Stridor and Airway Obstruction | Diagnosis | conf=High
[OK] Q2020-011 | Chronic Care Management | Acne Management | Management | conf=High
[OK] Q2020-012 | Acute Care and Diagnosis | Acute Cystitis | Management | conf=High
[OK] Q2020-013 | Acute Care and Diagnosis | Heparin-Induced Thrombocytopenia | Pathophysiology | conf=High
[OK] Q2020-014 | Preventive Care | Fall Prevention in Older Adults | Management | conf=High
[OK] Q2020-015 | Acute Care and Diagnosis | Laryngitis Management | Management | conf=High
[OK] Q2020-016 | Chronic Care Management | Heart Failure Classification | Interpretation | conf=High
[OK] Q2020-017 | Acute Care and Diagnosis | Stress Fracture Diagnosis | Diagnosis | conf=High
[OK] Q2020-018 | Acute Care and Diagnosis | Bartholin Cyst Management | Management | conf=High
[OK] Q2020-019 | Preventive Care | Prenatal Counseling and Safety | Counseling | conf=High
[OK] Q2020-020 | Acute Care and Diagnosis | Croup Diagnosis | Diagnosis | conf=High
[OK] Q2020-021 | Acute Care and Diagnosis | Crohn's Disease Diagnosis | Diagnosis | conf=High
[OK] Q2020-022 | Acute Care and Diagnosis | Migraine in Pregnancy | Management | conf=High
[OK] Q2020-023 | Chronic Care Management | Insulin Therapy Management | Pharmacology | conf=High
[OK] Q2020-024 | Preventive Care | Geriatric Assessment | Screening | conf=High
[OK] Q2020-025 | Chronic Care Management | Anorexia Nervosa Complications | Pathophysiology | conf=High
[OK] Q2020-026 | Emergent and Urgent Care | Acute Asthma Exacerbation | Management | conf=High
[OK] Q2020-027 | Preventive Care | Scoliosis Screening and Management | Management | conf=High
[OK] Q2020-028 | Acute Care and Diagnosis | Cerumen Impaction Management | Management | conf=High
[OK] Q2020-029 | Emergent and Urgent Care | Herpetic Whitlow | Management | conf=High
[OK] Q2020-030 | Chronic Care Management | Stress Urinary Incontinence | Diagnosis | conf=High
[OK] Q2020-031 | Preventive Care | Influenza Vaccination | Counseling | conf=High
[OK] Q2020-032 | Preventive Care | Sarcoidosis Screening | Screening | conf=High
[OK] Q2020-033 | Acute Care and Diagnosis | Benign Skin Lesions | Diagnosis | conf=High
[OK] Q2020-034 | Preventive Care | Cardiovascular Risk Reduction | Pharmacology | conf=High
[OK] Q2020-035 | Preventive Care | Pubertal Development Disorders | Diagnosis | conf=High
[OK] Q2020-036 | Chronic Care Management | Alpha-1 Antitrypsin Deficiency | Diagnosis | conf=High
[OK] Q2020-037 | Foundations of Care | Drug Screen Interpretation | Pharmacology | conf=High
[OK] Q2020-038 | Preventive Care | Depression Screening | Screening | conf=High
[OK] Q2020-039 | Preventive Care | Breast Cancer Surveillance | Screening | conf=High
[OK] Q2020-040 | Emergent and Urgent Care | Acute Coronary Syndrome Management | Management | conf=High
[OK] Q2020-041 | Chronic Care Management | Advanced Dementia End-of-Life Care | Counseling | conf=High
[OK] Q2020-042 | Chronic Care Management | Weight Management and Obesity | Counseling | conf=High
[OK] Q2020-043 | Chronic Care Management | Osteoporosis Treatment Duration | Management | conf=High
[OK] Q2020-044 | Emergent and Urgent Care | Pulmonary Embolism Diagnosis | Diagnosis | conf=High
[OK] Q2020-045 | Chronic Care Management | Controlled Substance Monitoring | Management | conf=High
[OK] Q2020-046 | Chronic Care Management | Atrial Fibrillation Anticoagulation | Management | conf=High
[OK] Q2020-047 | Foundations of Care | Social Determinants of Health | Interpretation | conf=High
[OK] Q2020-048 | Emergent and Urgent Care | Alcohol Withdrawal Syndrome | Diagnosis | conf=High
[OK] Q2020-049 | Acute Care and Diagnosis | Ankle and Foot Fracture | Diagnosis | conf=High
[OK] Q2020-050 | Emergent and Urgent Care | Small Bowel Obstruction | Diagnosis | conf=High
[OK] Q2020-051 | Chronic Care Management | Primary Hyperparathyroidism | Management | conf=High
[OK] Q2020-052 | Acute Care and Diagnosis | Aortic Regurgitation | Diagnosis | conf=High
[OK] Q2020-053 | Acute Care and Diagnosis | Lyme Disease Diagnosis | Diagnosis | conf=High
[OK] Q2020-054 | Preventive Care | Asthma Management and Vaccination | Management | conf=High
[OK] Q2020-055 | Chronic Care Management | Iron Deficiency Anemia in CKD | Pharmacology | conf=High
[OK] Q2020-056 | Chronic Care Management | Essential Tremor Management | Management | conf=High
[OK] Q2020-057 | Preventive Care | Medicare Preventive Benefits | Management | conf=High
[OK] Q2020-058 | Acute Care and Diagnosis | Knee Injury Assessment | Diagnosis | conf=High
[OK] Q2020-059 | Acute Care and Diagnosis | Palpitations Evaluation | Diagnosis | conf=High
[OK] Q2020-060 | Chronic Care Management | COPD Prevention and Management | Management | conf=High
[OK] Q2020-061 | Chronic Care Management | Adult ADHD | Pathophysiology | conf=High
[OK] Q2020-062 | Chronic Care Management | Polymyalgia Rheumatica and Giant Cell Arteritis | Diagnosis | conf=High
[OK] Q2020-063 | Chronic Care Management | Colorectal Cancer Survivorship | Management | conf=High
[OK] Q2020-064 | Preventive Care | Diabetes Prevention | Management | conf=High
[OK] Q2020-065 | Preventive Care | Food Allergen Identification | Pathophysiology | conf=High
[OK] Q2020-066 | Preventive Care | Tobacco Cessation in Pregnancy | Counseling | conf=High
[OK] Q2020-067 | Acute Care and Diagnosis | Aspergillosis and Fungal Pneumonia | Diagnosis | conf=High
[OK] Q2020-068 | Acute Care and Diagnosis | de Quervain's Tenosynovitis | Diagnosis | conf=High
[OK] Q2020-069 | Preventive Care | Adolescent Development and Amenorrhea | Counseling | conf=High
[OK] Q2020-070 | Emergent and Urgent Care | Nephrolithiasis Management | Management | conf=High
[OK] Q2020-071 | Chronic Care Management | Hypertension Management | Pharmacology | conf=High
[OK] Q2020-072 | Emergent and Urgent Care | Acute COPD Exacerbation | Management | conf=High
[OK] Q2020-073 | Emergent and Urgent Care | Hypothermia and Frostbite | Management | conf=High
[OK] Q2020-074 | Chronic Care Management | Medication-Related Weight Gain | Pharmacology | conf=High
[OK] Q2020-075 | Preventive Care | Preoperative Risk Stratification | Management | conf=High
[OK] Q2020-076 | Acute Care and Diagnosis | Graves Disease Diagnosis | Diagnosis | conf=High
[OK] Q2020-077 | Chronic Care Management | Adhesive Capsulitis | Diagnosis | conf=High
[OK] Q2020-078 | Preventive Care | Prenatal Immunization | Management | conf=High
[OK] Q2020-079 | Acute Care and Diagnosis | Obstructive Airway Disease Diagnosis | Interpretation | conf=High
[OK] Q2020-080 | Acute Care and Diagnosis | Liver Disease Diagnosis | Diagnosis | conf=High
[OK] Q2020-081 | Chronic Care Management | Medication-Induced Gynecomastia | Pharmacology | conf=High
[OK] Q2020-082 | Chronic Care Management | Heart Failure with Reduced Ejection Fraction | Management | conf=High
[OK] Q2020-083 | Acute Care and Diagnosis | Osteoporotic Compression Fracture Management | Management | conf=High
[OK] Q2020-084 | Foundations of Care | Medical Decision-Making Capacity | Counseling | conf=High
[OK] Q2020-085 | Preventive Care | HIV Screening | Screening | conf=High
[OK] Q2020-086 | Chronic Care Management | Asthma and Associated Conditions | Diagnosis | conf=High
[OK] Q2020-087 | Chronic Care Management | Postpartum Diabetes Management | Management | conf=High
[OK] Q2020-088 | Preventive Care | Cancer Screening and Prevention | Interpretation | conf=High
[OK] Q2020-089 | Chronic Care Management | Heart Failure with Reduced Ejection Fraction | Management | conf=High
[OK] Q2020-090 | Chronic Care Management | Diabetic Kidney Disease | Pharmacology | conf=High
[OK] Q2020-091 | Preventive Care | Tuberculosis Screening | Screening | conf=High
[OK] Q2020-092 | Chronic Care Management | Venous Leg Ulcer Management | Management | conf=High
[OK] Q2020-093 | Preventive Care | Depression Screening | Screening | conf=High
[OK] Q2020-094 | Preventive Care | Celiac Disease Screening | Screening | conf=High
[OK] Q2020-095 | Acute Care and Diagnosis | Acute Monoarticular Arthritis | Diagnosis | conf=High
[OK] Q2020-096 | Preventive Care | Abdominal Aortic Aneurysm Screening | Screening | conf=High
[OK] Q2020-097 | Preventive Care | Immunization in Pregnancy | Management | conf=High
[OK] Q2020-098 | Preventive Care | Infant Nutritional Supplementation | Counseling | conf=High
[OK] Q2020-099 | Chronic Care Management | Drug-Induced Hypercalcemia | Pharmacology | conf=High
[OK] Q2020-100 | Foundations of Care | Health Literacy and Shared Decision-Making | Counseling | conf=High
[OK] Q2020-101 | Chronic Care Management | Resistant Hypertension and Secondary Causes | Diagnosis | conf=High
[OK] Q2020-102 | Chronic Care Management | Insulin Therapy Initiation | Management | conf=High
[OK] Q2020-103 | Chronic Care Management | COPD Management | Management | conf=High
[OK] Q2020-104 | Acute Care and Diagnosis | Benign Paroxysmal Positional Vertigo | Management | conf=High
[OK] Q2020-105 | Emergent and Urgent Care | Clavicular Fracture Management | Management | conf=High
[OK] Q2020-106 | Chronic Care Management | Anal Fissure Management | Management | conf=High
[OK] Q2020-107 | Emergent and Urgent Care | Aortic Stenosis Complications | Diagnosis | conf=High
[OK] Q2020-108 | Chronic Care Management | Hidradenitis Suppurativa | Diagnosis | conf=High
[OK] Q2020-109 | Preventive Care | Immunizations and Vaccination | Management | conf=High
[OK] Q2020-110 | Chronic Care Management | Generalized Anxiety Disorder | Pharmacology | conf=High
[OK] Q2020-111 | Acute Care and Diagnosis | Thyroid Nodule Evaluation | Diagnosis | conf=High
[OK] Q2020-112 | Acute Care and Diagnosis | Acute Low Back Pain Management | Management | conf=High
[OK] Q2020-113 | Chronic Care Management | Hypertension Management | Pharmacology | conf=High
[OK] Q2020-114 | Preventive Care | HPV Vaccination | Management | conf=High
[OK] Q2020-115 | Chronic Care Management | Opioid Safety and Risk Mitigation | Pharmacology | conf=High
[OK] Q2020-116 | Chronic Care Management | COPD Long-term Management | Management | conf=High
[OK] Q2020-117 | Preventive Care | Influenza Vaccination | Management | conf=High
[OK] Q2020-118 | Chronic Care Management | Hepatic Cirrhosis and Portal Hypertension | Pharmacology | conf=High
[OK] Q2020-119 | Chronic Care Management | Parkinson's Disease | Pathophysiology | conf=High
[OK] Q2020-120 | Emergent and Urgent Care | Scaphoid Fracture Management | Management | conf=High
[OK] Q2020-121 | Chronic Care Management | Hirsutism Management | Management | conf=High
[OK] Q2020-122 | Acute Care and Diagnosis | Head Lice Treatment | Pharmacology | conf=High
[OK] Q2020-123 | Emergent and Urgent Care | Hypertensive Urgency Management | Management | conf=High
[OK] Q2020-124 | Preventive Care | Breast Cancer Screening | Screening | conf=High
[OK] Q2020-125 | Chronic Care Management | Chronic Kidney Disease Management | Counseling | conf=High
[OK] Q2020-126 | Acute Care and Diagnosis | Polymyositis and Myositis | Diagnosis | conf=High
[OK] Q2020-127 | Acute Care and Diagnosis | Interstitial Lung Disease Diagnosis | Diagnosis | conf=High
[OK] Q2020-128 | Chronic Care Management | Sickle Cell Disease Management | Management | conf=High
[OK] Q2020-129 | Preventive Care | Contraception Initiation | Counseling | conf=High
[OK] Q2020-130 | Chronic Care Management | H. pylori Infection Treatment | Interpretation | conf=High
