article_id,author1,year,title,source_type,db_tier
ART-0002,AAP,2015,578-580,AFP,local_lite
ART-0018,Achar,2019,Apophysitis and osteochondrosis: Common causes of pain in growing bones,AFP,right_click
ART-0029,Al,2021,a systematic review and quality assessment study,Guideline/Org,local_lite
ART-0033,Albert,2017,End-of-life care: Managing common symptoms,AFP,local_lite
ART-0036,Ali,2018,a primer for family physicians,AFP,local_lite
ART-0040,Allison,2021,Frailty: Evaluation and management,AFP,local_lite
ART-0052,American,2004,Management of hyperbilirubinemia in the newborn infant 35 or more weeks of gesta,Pediatrics,right_click
ART-0072,American,2013,123–154,Textbook,local_lite
ART-0078,American,2018,The American Psychiatric Association Practice Guideline for the Pharmacological ,Guideline/Org,local_lite
ART-0090,Armstrong,2019,Influenza vaccination: Updated recommendations from ACIP,AFP,local_lite
ART-0092,Arnett,2019,2019 ACC/AHA guideline on the primary prevention of cardiovascular disease: A re,Circulation,local_lite
ART-0095,Arnold,2018,Common running injuries: Evaluation and management,AFP,local_lite
ART-0097,Aspirin,2022,online,AFP,local_lite
ART-0124,Barr,2014,Acute diarrhea in adults,AFP,local_lite
ART-0126,Barstow,2018,Evaluating medical decision-making capacity in practice,AFP,right_click
ART-0150,Bhattacharya,2023,"AASLD-IDSA recommendations for testing, managing, and treating hepatitis C virus",Guideline/Org,local_lite
ART-0163,Bowlus,2023,659-702,Other Journal,local_lite
ART-0166,Bradley,2011,the management of community acquired pneumonia in infants and children older tha,Guideline/Org,right_click
ART-0169,Braun,2018,Stable coronary artery disease: Treatment,AFP,local_lite
ART-0187,Buelt,2023,guidelines from the VA/DoD,AFP,local_lite
ART-0190,Bunt,2018,Knee pain in adults and adolescents: The initial evaluation,AFP,local_lite
ART-0193,Burgers,2020,Chronic diarrhea in adults: Evaluation and differential diagnosis,AFP,local_lite
ART-0213,Carpenter,2019,Clinically relevant drug-drug interactions in primary care,AFP,local_lite
ART-0216,Cary,2024,101858,Other Journal,local_lite
ART-0223,Chamberlain,2021,Hip pain in adults: Evaluation and differential diagnosis,AFP,right_click
ART-0228,Chang,2022,118-136,Guideline/Org,local_lite
ART-0230,Charles,2017,discovering the underlying cause,AFP,right_click
ART-0232,Chavey,2017,Heart failure due to reduced ejection fraction: Medical management,AFP,right_click
ART-0234,Chey,2017,treatment of Helicobacter pylori infection,Other Journal,right_click
