QuestionID,ExamYear,QuestionStem,BodySystem,Subcategory,BlueprintCategory_Predicted,CorrectAnswer
Q2020-001,2020,"A 42-year-old Asian male presents for follow-up of elevated blood pressure. He has no
additional  chronic  medical  problems and  is  otherwise  asymptomatic.  An examination is
significant for a blood pressure of 162/95 mm Hg but is otherwise unremarkable.
Laboratory Findings
Sodium  138 mEq/L (N 135â€“145)
Potassium 3.9 mEq/L (N 3.5â€“5.5)
Fasting glucose 86 mg/dL
BUN  14 mg/dL (N 10â€“20)
Creatinine  0.6 mg/dL (N 0.6â€“1.3)
Urine microalbumin negative
According to the American College of Cardiology/American Heart Association 2017 guidelines,
which one of the following would be the most appropriate medication to initiate at this time?
A) Clonidine (Catapres), 0.1 mg twice daily
B) Hydralazine, 25 mg three times daily
C) Lisinopril/hydrochlorothiazide (Zestoretic), 10/12.5 mg daily
D) Metoprolol tartrate (Lopressor), 25 mg twice daily
E) Triamterene (Dyrenium), 50 mg daily

A) 
B) 
C) 
D) 
E) ",Cardiovascular,Pharmacology,Chronic Care Management,C
Q2020-002,2020,"During rounds at the nursing home, you are informed that there are two residents on the unit
with laboratory-confirmed influenza. According to CDC guidelines, who should receive
chemoprophylaxis for influenza?
A) Only symptomatic residents on the same unit
B) Only symptomatic residents in the entire facility
C) All asymptomatic residents on the same unit
D) All residents of the facility regardless of symptoms
E) All staff regardless of symptoms

A) 
B) 
C) 
D) 
E) ",Respiratory,Prevention,Acute Care and Diagnosis,C
Q2020-003,2020,"A 24-year-old female presents with a 2-day history of mild to moderate pelvic pain. She has had
two male sex partners in the last 6 months and uses oral contraceptives and sometimes condoms.
A physical examination reveals a temperature of 36.4Â°C (97.5Â°F) and moderate cervical motion
and uterine tenderness. Urine hCG and a urinalysis are negative. Vaginal microscopy shows only
WBCs.
The initiation of antibiotics for treatment of pelvic inflammatory disease in this patient
A) is appropriate at this time
B) requires an elevated temperature, WBC count, or C-reactive protein level
C) should be based on the results of gonorrhea and Chlamydia testing
D) should be based on the results of pelvic ultrasonography
1

A) 
B) 
C) 
D) 
E) ",Gastrointestinal,Pharmacology,Acute Care and Diagnosis,A
Q2020-004,2020,"A 24-year-old patient wants to start the process of transitioning from female to male. He has
been working with a psychiatrist who has confirmed the diagnosis of gender dysphoria.
Which one of the following would be the best initial treatment for this patient?
A) Clomiphene
B) Letrozole (Femara)
C) Leuprolide (Eligard)
D) Spironolactone (Aldactone)
E) Testosterone

A) 
B) 
C) 
D) 
E) ",Endocrine,Treatment,Chronic Care Management,E
Q2020-005,2020,"Based on American Cancer Society guidelines for cervical cancer screening, when should HPV
DNA co-testing first be performed along with Papanicolaou testing?
A) At the onset of sexual activity
B) At age 21
C) At age 25
D) At age 30
E) At age 35

A) 
B) 
C) 
D) 
E) ",Gastrointestinal,Workup,Preventive Care,D
Q2020-006,2020,"Long-term proton pump inhibitor use is associated with an increased risk for
A) Barrettâ€™s esophagus
B) gout
C) hypertension
D) pneumonia
E) type 2 diabetes

A) 
B) 
C) 
D) 
E) ",Gastrointestinal,Prognosis/Risk,Emergent and Urgent Care,D
Q2020-007,2020,"An 87-year-old female comes to your office for an annual health maintenance visit. She appears
cachectic and tells you that for the past 6 months she has had a decreased appetite and
generalized muscle weakness. The patient is alert and oriented to person and place. She has a
10% weight loss, dry mucous membranes, and tenting of the skin on the extensor surface of her
hands. While inflating the blood pressure cuff on her right arm you observe carpopedal spasms.
Which one of the following is the most likely electrolyte disturbance?
A) Hypercalcemia
B) Hypocalcemia
C) Hypokalemia
D) Hypernatremia
E) Hyponatremia
2

A) 
B) 
C) 
D) 
E) ",Nonspecific,Diagnosis,Chronic Care Management,B
Q2020-008,2020,"A 24-year old female presents to your office with a 3-month history of difficulty sleeping. She
says that she struggles to fall asleep and wakes up multiple times at night at least three times a
week. She tries to go to bed at 10:00 p.m. and wakes up at 6:30 a.m. to start her day. She lies
awake for an hour in bed before falling asleep and spends up to 2 hours awake in the middle of
the night trying to fall back asleep. Lately she has been feeling fatigued and having difficulty
concentrating at work. You conduct a full history and physical examination and tell her to return
in 2 weeks with a sleep diary. At this follow-up visit you see from her diary that she is sleeping
an average of 5Â½ hours per night.
Which one of the following would be the most appropriate recommendation?
A) Set her alarm for 5:30 a.m.
B) Add a mid-afternoon nap
C) Move her bedtime to 9:00 p.m.
D) Move her bedtime to 12:30 a.m.
E) Stay up for an hour if she wakes up at 3:00 a.m.

A) 
B) 
C) 
D) 
E) ",Psychogenic,Management,Chronic Care Management,D
Q2020-009,2020,"A 45-year-old female presents to the emergency department with a 1-week history of facial
swelling  and  progressive  dyspnea  with  exertion.  She  was  diagnosed  1  week  ago  with
non-Hodgkinâ€™s lymphoma but her medical history is otherwise unremarkable. A chest radiograph
is shown below.
After hospital admission, which one of the following would be the most appropriate next step
in the management of this condition?
A) Intravenous antibiotics
B) Urgent chemotherapy and radiation
C) Urgent chemotherapy and plasmapheresis
D) Urgent echocardiography
E) Urgent bronchoscopy

A) 
B) 
C) 
D) 
E) ",Cardiovascular,Treatment,Emergent and Urgent Care,B
Q2020-010,2020,"A nonverbal 22-year-old male with intellectual disability is brought to your office by the staff
of the group home where he lives. They report that the patient has been functioning at his
baseline until this morning when he was found to have loud breathing. No other history is
available at the time of this visit.
On examination he has a temperature of 37.3Â°C (99.1Â°F), a blood pressure of 124/82 mm Hg,
a pulse rate of 100 beats/min, and a respiratory rate of 16/min. The patient appears to be in mild
distress and a high-pitched whistling, crowing sound on inspiration is heard as you walk in the
room.
Which one of the following would be the most appropriate next step for this patient?
A) Oral antibiotics
B) Oral corticosteroids
C) Nebulized albuterol
D) Nebulized epinephrine
E) Urgent evaluation in the emergency department
3
Item #9
4

A) 
B) 
C) 
D) 
E) ",Respiratory,Management,Emergent and Urgent Care,E
