article_id,tier,classification,top_url,title,author1,year,source_type,query_used,exa_title
ART-0043,VC_pass,direct_pdf,https://www.aafp.org/pubs/afp/issues/2021/1000/p359.pdf,American Academy of Dermatology: Don’t prescribe oral antifungal therapy for suspected nail fungus without confirmation of fungal infection,American Academy of Dermatology,2021,Other Journal,American Academy of Dermatology: Don’t prescribe oral antifungal therapy for suspected nail fungus without confirmation of fungal infection American 2021 PDF,
ART-0049,VC_pass,direct_pdf,https://www.aaos.org/globalassets/quality-and-practice-resources/osteoarthritis-of-the-knee/osteoarthritis-of-the-knee-2nd-editiion-clinical-practice-guideline.pdf,American Academy of Orthopaedic Surgeons: Don’t use glucosamine and chondroitin to treat patients with symptomatic osteoarthritis of the knee,American Academy of Orthopaedic Surgeons,2013,Other Journal,American Academy of Orthopaedic Surgeons: Don’t use glucosamine and chondroitin to treat patients with symptomatic osteoarthritis of the knee American 2013 PDF,[PDF] Treatment of Osteoarthritis of the Knee – 2nd Edition - AAOS
ART-0050,VC_pass,direct_pdf,https://www.aaos.org/globalassets/quality-and-practice-resources/osteoarthritis-of-the-knee/oak3cpg.pdf,American Academy of Orthopaedic Surgeons: Don’t use lateral wedge insoles to treat patients with symptomatic medial compartment osteoarthritis of the knee,American Academy of Orthopaedic Surgeons,2013,Other Journal,American Academy of Orthopaedic Surgeons: Don’t use lateral wedge insoles to treat patients with symptomatic medial compartment osteoarthritis of the knee American 2013 PDF,
ART-0122,VC_pass,direct_pdf,https://www.auanet.org/documents/guidelines/pdf/microhematuria%20guideline.pdf,Microhematuria: AUA/SUFU guideline,Barocas,2020,Other Journal,Microhematuria: AUA/SUFU guideline Barocas 2020 PDF,
ART-0123,VC_pass,direct_pdf,https://www.auanet.org/documents/guidelines/pdf/microhematuria%20guideline.pdf,Microhematuria: AUA/SUFU guideline,Barocas,2020,Other Journal,Microhematuria: AUA/SUFU guideline Barocas 2020 PDF,
ART-0330,VC_pass,direct_pdf,https://www.cdc.gov/mmwr/volumes/65/rr/pdfs/rr6501e1.pdf,"CDC guideline for prescribing opioids for chronic pain—United States, 2016",Dowell,2016,JAMA,"CDC guideline for prescribing opioids for chronic pain—United States, 2016 Dowell 2016",
ART-0331,VC_pass,direct_pdf,https://www.cdc.gov/mmwr/volumes/65/rr/pdfs/rr6501e1.pdf,"CDC guideline for prescribing opioids for chronic pain—United States, 2016",Dowell,2016,Guideline/Org,"CDC guideline for prescribing opioids for chronic pain—United States, 2016 Dowell 2016 PDF",[PDF] CDC Guideline for Prescribing Opioids for Chronic Pain
ART-0338,VC_pass,direct_pdf,https://jpet.aspetjournals.org/content/jpet/375/1/127.full.pdf,137-144,Drugs,2020,Other Journal,137-144 Drugs 2020 PDF,
ART-0381,VC_pass,direct_pdf,https://bmjopen.bmj.com/content/bmjopen/3/1/e002091.full.pdf,Oral bisphosphonates are associated with increased risk of subtrochanteric and diaphyseal fractures in elderly women: A nested case-control study,Erviti,2013,BMJ,Oral bisphosphonates are associated with increased risk of subtrochanteric and diaphyseal fractures in elderly women: A nested case-control study Erviti 2013,untitled
ART-0408,VC_pass,direct_pdf,https://www.uspreventiveservicestaskforce.org/uspstf/sites/default/files/file/supporting_documents/carotid-artery-stenosis-screening-final-rec-bulletin.pdf,Final Recommendation Statement: Asymptomatic Carotid Artery Stenosis: Screening,Final Recommendation Statement,2021,Guideline/Org,Final Recommendation Statement: Asymptomatic Carotid Artery Stenosis: Screening Final 2021 PDF,U.S. Preventive Services Task Force Issues Final Recommendation Statement on Screening for Carotid Artery Stenosis
ART-0426,VC_pass,direct_pdf,https://www.uspreventiveservicestaskforce.org/uspstf/sites/default/files/file/supporting_documents/carotid-artery-stenosis-screening-final-rec-bulletin.pdf,Final Recommendation Statement: Screening for Asymptomatic Carotid Artery Stenosis,Final Recommendation Statement,2021,Guideline/Org,Final Recommendation Statement: Screening for Asymptomatic Carotid Artery Stenosis Final 2021 PDF,U.S. Preventive Services Task Force Issues Final Recommendation Statement on Screening for Carotid Artery Stenosis
ART-0428,VC_pass,direct_pdf,https://www.uspreventiveservicestaskforce.org/uspstf/sites/default/files/file/supporting_documents/vitamin-d-deficiency-screening-adults-final-rec-bulletin.pdf,Final Recommendation Statement: Vitamin D Deficiency In Adults: Screening,Final Recommendation Statement,2021,Guideline/Org,Final Recommendation Statement: Vitamin D Deficiency In Adults: Screening Final 2021 PDF,[PDF] Task Force Issues Final Recommendation Statement on Screening ...
ART-0499,VC_pass,direct_pdf,https://www3.weforum.org/docs/WEF_The_Global_Risks_Report_2022.pdf,2022 Report,Global,2022,Other Journal,2022 Report Global 2022 PDF,[PDF] The Global Risks Report 2022 - World Economic Forum
ART-0744,VC_pass,direct_pdf,https://renaissance.stonybrookmedicine.edu/sites/default/files/Hyperbilirubinemia%20in%20the%20Newborn.pdf,Hyperbilirubinemia in the newborn,Lauer,2011,Other Journal,Hyperbilirubinemia in the newborn Lauer 2011 PDF,
ART-0982,VC_pass,direct_pdf,https://open.alberta.ca/dataset/28b7c03a-f2e1-4b61-b1cc-e2cad282522a/resource/e8812918-8318-45dd-b1d8-d325407a121d/download/guidelines-pertussis-2019-02.pdf,Clinicians,Pertussis,2019,Guideline/Org,Clinicians Pertussis 2019 PDF,[PDF] Pertussis - Public Health Disease Management Guideline
ART-1012,VC_pass,direct_pdf,https://asmbs.org/wp-content/uploads/2023/07/Metabolic-Bariatric-Surgery-Fact-Sheet-2021.pdf,Public Education Committee. Bariatric surgery procedures. American Society for M,Public,2021,Other Journal,Public Education Committee. Bariatric surgery procedures. American Society for M Public 2021 PDF,[PDF] Metabolic & Bariatric Surgery Fact Sheet 2021 - ASMBS
ART-1050,VC_pass,direct_pdf,https://reproductive-health-journal.biomedcentral.com/counter/pdf/10.1186/s12978-020-01029-z.pdf,Preterm birth,Reproductive,2020,Guideline/Org,Preterm birth Reproductive 2020 PDF,Rates and risk factors for preterm birth and low birthweight in the global network sites in six low- and low middle-income countries
ART-1105,VC_pass,direct_pdf,https://www.auanet.org/documents/Guidelines/PDF/2023%20Guidelines/BPH%20Unabridged%2009-26-23%20Final.pdf,Management of lower urinary tract symptoms attributed to benign prostatic hyperplasia (BPH): AUA guideline amendment 2023,Sandhu,2023,Other Journal,Management of lower urinary tract symptoms attributed to benign prostatic hyperplasia (BPH): AUA guideline amendment 2023 Sandhu 2023 PDF,
ART-1179,VC_pass,direct_pdf,https://effectivehealthcare.ahrq.gov/sites/default/files/pdf/cer-215-depression-older-adults-final.pdf,Adverse effects of pharmacologic treatments of major depression in older adults,Sobieraj,2019,Other Journal,Adverse effects of pharmacologic treatments of major depression in older adults Sobieraj 2019 PDF,
ART-1255,VC_pass,direct_pdf,https://www.uspreventiveservicestaskforce.org/uspstf/sites/default/files/file/supporting_documents/carotid-artery-stenosis-screening-final-rec-bulletin.pdf,Final recommendation statement: asymptomatic carotid artery stenosis: screening,US Preventive Services Task Force. Final recommendation statement,2021,Guideline/Org,Final recommendation statement: asymptomatic carotid artery stenosis: screening US 2021 PDF,U.S. Preventive Services Task Force Issues Final Recommendation Statement on Screening for Carotid Artery Stenosis
ART-1297,VC_pass,direct_pdf,https://www.cdc.gov/hepatitis/resources/professionals/pdfs/abctable.pdf,Viral hepatitis: Q&As for health professionals,Viral,2020,Guideline/Org,Viral hepatitis: Q&As for health professionals Viral 2020 PDF,
ART-1363,VC_pass,direct_pdf,https://www.dhhs.nh.gov/sites/g/files/ehbemt476/files/documents/2021-11/idsalymetreatment.pdf,"The clinical assessment, treatment, and prevention of Lyme disease, human granulocytic anaplasmosis, and babesiosis: Clinical practice guidelines by the Infectious Diseases Society of America",Wormser,2006,Guideline/Org,"The clinical assessment, treatment, and prevention of Lyme disease, human granulocytic anaplasmosis, and babesiosis: Clinical practice guidelines by the Infectious Diseases Society of America Wormser 2006 PDF",
