session_number,session_file,question_num,page_num,stem,choice_A,choice_B,choice_C,choice_D,matched_subcategory,match_score
2,02-SLIDES_periph-vasc-dis.pdf,1,5,"Because of the prevalence and its lethality, the USPSTF recommends that ultrasound screening be performed in which patients? history have ever smoked regardless of smoking history Should You Ultrasound “Screen”Patients for AAA? USPSTF Recommendations: 2019 • (+) Screen 1 time for abdominal aortic aneurysm (AAA) with ultrasonography in men aged 65 to 75 years who have ever smoked (grade B) • Selectively offer screening for AAA in men aged 65 to 75 years who have never smoked (grade C). • There is too little evidence to recommend for or against screening for AAA in women who have ever smoked (grade I). • (-) Do not screen for AAA in women who have never smoked (grade D) Should You US “Screen” Patients for AAA? Why not women??? Chichester Trial Methods 9342 women, ages 65-80 randomly Assigned to Screening vs. control (no screening) Results • At 5 years, no difference in AAA mortality • At 10 years, no difference in AAA rupture rate Scott, RA; et al. Br J Surg; 1995 Medicare Part B covers one-time AAA screening for: • men aged 65 to 75 years who have ever smoked • (+) Family Hx AAA (1st degree relative)","One-time screening for men ages 65-75, who have ever smoked","One-time screening for men ages 65-75, regardless of smoking","One time screening for both men and women ages 65-75, who","One time screening for both men and women ages 65-75,",Abdominal Aortic Aneurysm,0.364
2,02-SLIDES_periph-vasc-dis.pdf,2,7,"You identified an abdominal aortic aneurysm (AAA) in your patient. At what size (in centimeters) should you refer your patient for surgical intervention? AAA: Risk of Rupture Used with permission © New England Journal of Medicine. Powell JT and Greenhalgh RM. NEJM 348: 1895, May 8, 2003 AAA: Risk of Rupture Rate of increase = Is exponential!!!! • • Smaller aneurysms expand slower (Conversely, larger aneurysms expand faster) Aneurysm size Mean yearly increase 2.8 – 3.9 cm 0.19 cm 4.0 – 4.5 cm 0.27 cm 4.6 – 8.5 cm 0.35 cm Brady AR, et al. Circulation 2004; 110 (1): 1239-1312 Haque K, et al. AFP 2022; 106 (5): 165-72 You Have Identified a Small AAA How Often Should You Get a F/U Ultrasound? Surveillance Diameter, cm recommendation Society of Vascular Surgery 3.0 – 3.9 36 months 2018 4.0 – 4.9 12 months 5.0 – 5.4 6 months ChaikofEL, et al. J VascSurg2018; 67:2-77. Aortic Dissection: Who’s at Risk? • Ages: 40-80, average age: 63 • Males: 2:1 • Hypertension: 76% - Prior cardiac surgery 16% • - *Marfan’s 5% (more common in younger patients) • - Cocaine use: 2% • - Peri/post-partum Evangelista A, et al. Circulation 2018: 1846-1860 Marfan’s Syndrome: Clinical Features • Above-average height • Disproportionally long, slender limbs • Scoliosis • Thoracic lordosis • Pectus carinatum or Pectus excavatum • Abnormal joint flexibility -----Thumb sign (Steinberg’s sign) • High-arched palate • Flat feet • Lens dislocation • Spontaneous pneumothorax Images courtesy of wikipedia A Pet Peeve AAA do not “dissect” Aortic dissections are NOT aneurysms The pathophysiology is different!!!! AAA Aortic dissection Atherosclerosis Hypertension Aortic Dissection: Location Stanford Classification • Ascending Aorta (60-65%) Type A • Descending Aorta (30-35%) Type B (After origin of subclavian artery) IRAD Study: Circulation 2018, 7300 patients Type A Type B Any Pain 94% 98% Anterior CP 79% 63% Back pain 43% 64% Abdominal pain 22% 42% Tearing/ripping 49% 52% Migrating 15% 19% Syncope 19% 4% Hypertensive 36% 70% Hypotensive/shock 25% 4% Pulse deficits 30% 20% Aortic Dissection: Diagnosis • Echocardiography 1. Transthoracic (TTE) 2. Transesophageal (TEE) • CT-Angiography • MRI • Aortography Image reprinted with permission from Joel E Fishman, MD, PhD, University of Miami School All are acceptable, depends of Medicine, published by Medscape Reference (http://emedicine.medscape.com/), 2014, available at: on what you have available! http://emedicine.medscape.com/article/416776-overview Aortic Dissection: Management 2 Goals: • Lower blood pressure to BP sys 90-110 • IV nitroprusside • Lower velocity of LV ejection • IV esmolol Pearl: Start with your B-Blocker Arterial Occlusive Disease •Chronic due to: Atherosclerosis => Claudication •Acute due to: Thromboembolic => 5 “P’s” Claudication: Definition -Reproducible ischemic muscle pain - that occurs with exercise, - relieved with rest It’s stable angina…of the legs!!! Claudication: Presentation Symptoms are distal to the location of occlusion • • Calf symptoms----------- femoral- popliteal disease • Calf and thigh:----------- profunda femoral artery • Thigh, hip, buttock pain, with impotence:- aortoiliac disease (Leriche Syndrome) Chronic Arterial Occlusive Disease Differential Diagnosis • Spinal stenosis - “Pseudoclaudication” • Spinal cord tumors • Lumbar radiculopathy • DJD • DVT",3 - 3.5 cm,4 - 4.5 cm,5 - 5.5 cm,6 - 6.5 cm,Acute Limb Ischemia,0.556
2,02-SLIDES_periph-vasc-dis.pdf,3,16,"A 68 yo patient presents with complaints of an aching pain in both thighs when he/she walks about one block. The pain subsides within about 1-2 minutes after he stops ambulating. The best initial test in this case is: arteriogram (MRA) Used with permission © New England Journal of Medicine White C. N EnglJ Med 2007;356:1241-1250 The New England Journal of Medicine Fig 2, Peripheral Vascular Disease Hennion D, Am Fam Phys, Sept 1, 2013 p.306-310 Chronic Arterial Occlusive Disease Screening: Ankle - Brachial Pressure Index ABI Interpretation 0.9 - 1.40 Normal 0.7 - 0.89 Mild 0.4 - 0.69 Moderate < 0.4 Severe • Use higher of 2 brachial pressures if different • Use higher of 2 ankle pressures (DP or PT) if different • CPT # 93922 Screening: Ankle - Brachial Pressure Index What if the value is markedly elevated?? Example: ankle BPsys = 210 = 1.6 brachial BPsys = 130 • An ABI >1.4 indicates noncompressible arteries (calcified vessels) • 1.4% of adults > 40yrs old have ABI >1.4 - accounts for approx 20% of all adults with PVD. Bottom Line: “Normal”ABI = 0.9 - 1.4",Perform an ankle-brachial index (ABI),Perform bilateral leg ultrasound,Perform pulse volume recordings (PVR),Perform lower extremity magnetic resonance,Peripheral Arterial Disease,0.444
2,02-SLIDES_periph-vasc-dis.pdf,4,19,"When obtaining an ABI, AHA/ACC recommends obtaining the brachial (arm) systolic BP in both arms and using the higher of the 2 readings. However, if a difference in systolic BP > 20 mm between the arms, the most likely diagnosis is? Subclavian artery stenosis • Most often due to atherosclerosis • Usually asymptomatic – requires no intervention. • Only intervene if these develop… • Upper extremity claudication • Subclavian steal syndrome • Coronary steal syndrome Peripheral Artery Disease: Management / \ Risk factor modification Intervention • Smoking cessation • Exercise • Hypertension • Cilostazol (Pletal) • Diabetes mellitus • Lipid lowering agents • Antiplatelet therapy - Aspirin: 75-325mg qd or - Clopidogrel: 75mg qd Note: not dual antiplatelet therapy (DAPT) PAD: Interventions 1. Supervised exercise training • 32 trials: => improve pain-free walking* Improved pain-free walking by 90 yards Does not improve ABI 2. Lipid-lowering agents –7 small trials: => improve pain-free walking** • Improved pain-free walking by 96 yards *Lane R, et al. Cochrane Library, Issue 12, 2017 **Aung PP, et al. Cochrane Library, Issue 4, 2007 PAD: Interventions 3. Drug therapy for claudication •Cilostazol (Pletal) ‾ Inhibits phosphodiesterase type 3, ? Vasodilatory/antiplatelet ‾ 15 double-blind, randomized, placebo-controlled trials => Improved pain-free walking* Approx by 41 yards** - Side effects: tachycardia, diarrhea, increased bleeding - Contraindication: CHF, low ejection fraction *Bedenis, et al. Cochrane Library, Issue 10, 2014 ** Beebe HG, et al. Arch Intern Med 1999; 159: 2041-2050 KulloIJ, Rooke TW. NEJM 2016; 374: 861-71. PAD: Management Risk factor Mild/moderate Critical leg modification symptoms ischemia | • Exercise | • Drug therapy / \ | Symptoms Symptoms | improve worsen | | Localize the lesion: | Imaging only when •Pulse volume recording considering Localize lesion | •Magnetic resonance angiography (MRA) revascularization •Conventional angiography Chronic Arterial Occlusive Disease: As Disease Progresses • Pain at rest in foot or toes (sometimes noted as paresthesias/numbness) • Worse with legs elevated, relieved with legs dependent • Develops leg edema Chronic Arterial Occlusive Disease: As Disease Progresses • Hair loss, smooth shiny skin • Thickened nails • Pallor with leg elevation and • Rubor with legs dependent • Bruits, decreased pulses • Cyanosis, ulceration, gangrene Singer AJ, et al. NEJM 2017; 377: 1559-1567 So, should you screen all at-risk, asymptomatic patients with an ABI? 2013, 2018: USPSTF notes Insufficient Evidence for routine screening for PAD in asymptomatic adults Rating: I Level Recommendation",Acute aortic dissection,Chronic aortic aneurysm,Subclavian artery stenosis,A mediastinal mass/tumor,Peripheral Arterial Disease,0.778
2,02-SLIDES_periph-vasc-dis.pdf,5,24,"A 72 yo patient presents to the ED with sudden severe Right leg pain, located from the knee to toes. Past medical history is significant for HTN and DM. Exam: Vitals: 160/90, pulse = 120 and irregular, afebrile. Lungs are clear. Heart: rapid irregularly, irregular pulse. The right leg is cool to touch, pale in color, and you are unable to obtain posterior tibial or dorsalis pedis pulse.",,,,,,0.0
2,02-SLIDES_periph-vasc-dis.pdf,5,25,"At this point, you should: surgeon Acute Arterial Occlusion • Thromboembolic • Heart is most common source: 80-90% • Presentation: The 5 “P’s” ‾ “P”ain ‾ “P”allor ‾ “P”aresthesia ‾ “P”ulselessness ‾ “P”aralysis Acute Arterial Occlusion • Cardioarterial emboli: Where do they lodge? ‾ Lower extremities: 65-70% (usually at bifurcations) ‾ Cerebral arteries: 20-25% ‾ Upper extremities: 5-10% ‾ Visceral arteries: 5-10% Don’t miss: Acute SMA occlusion “Pain out of proportion to physical findings”",Start heparin and immediately consult a vascular,Immediately obtain an ultrasound of the lower extremity,Immediately obtain an echocardiogram,Immediately obtain an abdominal aortic ultrasound,Acute Limb Ischemia,0.444
2,02-SLIDES_periph-vasc-dis.pdf,6,27,"A 76 yo patient with a Hx of HTN, hyperlipidemia, and smoking presents with a painful toe. No Hx of trauma. No Hx of atrial fibrillation. The toes are dusky blue in color. Posterior tibial and dorsalis pedis pulses are present. The most likely diagnosis is: Acute Arterial Occlusion • Arterioarterial emboli: The Blue Toe Syndrome ‾ Cholesterol or atherothrombotic emboli ‾ Occludes small vessels ‾ Don’t be fooled Pulses remain present Often confused with bruising ‾ Can involve multiple organs – especially kidneys ‾ Can confirm diagnosis with Skin or muscle biopsy Cholesterol crystals on funduscopic exam Raynaud’s disease : Raynaud’s phenomenon recurrent vasospasm of the fingers/toes/tip of nose in response to stress or cold exposure • Primary: idiopathic (no underlying disease) • Secondary: associated with another illness • Rheumatic • Progressive systemic sclerosis/scleroderma • Mixed/Undifferentiated connective tissue disease, SLE • Dermatomyositis, Sjogren’s • Hematologic 3-5% of population • Cryoglobulins Most do not seek treatment • Paraneoplastic syndromes Thank you! Answers 1. A 2. C 3. A 4. C 5. A 6. D Supplemental Slides Raynaud’s Phenomenon: Diagnosis • Dx: biphasic white (pallor) and blue (cyanosis) change in skin color • Primary vs. Secondary: -primary seen in younger patients (ages 15-30) -37% initially dx as primary are later discovery to be secondary -secondary has abnormal capillaroscopy",Acute gout,Raynaud’s,Cellulitis,Blue toe syndrome,Peripheral Arterial Disease,0.333
3,03-SLIDES_acs-hyperlipidemia.pdf,1,5,A 52-y.o. man presents with 45 minutes of squeezing substernal chest pressure radiating to his left arm. EKG from a physical two months ago was normal. This is his current EKG:,,,,,Acute Coronary Syndrome,0.167
3,03-SLIDES_acs-hyperlipidemia.pdf,1,6,His history and EKG are most consistent with which one of the following? ST segment depression (not elevation) in inferior and lateral precordial leads (NSTE-ACS or NSTEMI),Esophageal spasm,ST segment elevation myocardial infarction (STEMI),Non-ST segment elevation ACS (NSTEMI),Pericarditis,Acute Coronary Syndrome,0.083
3,03-SLIDES_acs-hyperlipidemia.pdf,2,7,"A 72-year-old man with NSTE-ACS (NSTEMI) presents to your rural emergency room with onset of pain two hours ago. What is an appropriate immediate intervention? 2014 AHA/ACC Guideline for the Management of Patients With Non-ST-Elevation Acute Coronary Syndromes Ischemia-guided strategy (lower risk patients, preference for low intervention) 1. Aspirin (non-enteric coated, chewable) 2. P2Y inhibitor (clopidogrel, ticagrelor) 12 3. Anticoagulation (heparin) Early invasive strategy (higher risk patients) 1. Aspirin (non-enteric coated, chewable) 2. P2Y inhibitor (clopidogrel, ticagrelor) 12 3. Anticoagulation (heparin) 4. Consider glycoprotein IIb/IIIa receptor blockers [Tirofiban (Aggrastat), Eptifibatide (Integrilin), Abciximab (ReoPro)] before invasive treatment 2014 AHA/ACC Guideline for the Management of Patients With Non-ST-Elevation Acute Coronary Syndromes • Recommends initial invasive strategy in patients with the following characteristics: • Recurrent symptoms or ischemia despite adequate medical therapy • Previous PCI or CABG, unless prior coronary angiography data indicate that no further revascularization is feasible • High risk as categorized by clinical findings: • Heart failure • Serious ventricular arrhythmias 2014 AHA/ACC Guideline for the Management of Patients With Non-ST-Elevation Acute Coronary Syndromes • Recommends initial invasive strategy in patients with the following characteristics: • Noninvasive test findings: Significant LV dysfunction with EF <0.40 Large anterior or multiple perfusion defects or wall motion abnormalities on echocardiography High-risk Duke treadmill score < -11 High-risk TIMI or GRACE scores Markedly elevated troponin levels STEMI: Q waves, ST-segment elevation, T-wave inversion: anterior precordial leads (V -V ) 2 5 ACS: STEMI • ST segments: • Elevation occurs immediately post plaque-rupture and is consistent with myocardial injury. • Resolution of ST elevation suggests reperfusion. • Persistent ST elevation may be seen with aneurysm formation. • ST depression indicates myocardial ischemia. • Q waves: • Develop approximately 12 hours post plaque-rupture and are indicative of (electrically) dead myocardium (MI). • Typically permanent. ACS: STEMI • Anterior/anteroseptal • LAD • Leads V – V 1 4 • Lateral • Circumflex • Leads V – V 5 6 • Inferior • RCA • Leads II, III, aVF By Bruce Blauson Wikipedia https://commons.wikimedia.org/w/index.php?curid=29140356 Management of STEMI • Reperfusion as quickly as possible, ideally within 12 hours, assuming no contraindications. • Percutaneous coronary intervention (PCI) is preferred. • Fibrinolytic therapy is indicated: if onset of symptoms plus time to transport to a PCI-capable hospital is more than 12 hours if time from first medical contact at the non-PCI capable hospital to device time at PCI-capable hospital is more than 2 hours ACS Therapy: PCI with Stent • Bare metal (BMS) • Bare metal acts as foreign body, increasing risk of in-stent thrombosis • Endothelialization may progress to in-stent stenosis • Drug-eluting (DES) • Delay endothelialization, maintaining bare metal longer • Sirolimus (Cypher), tacrolimus (Mahoroba), paclitaxel (Taxus) Dual antiplatelet therapy (DAPT) Aspirin (81 mg) plus P2Y inhibitor: 12 • In patients with ACS treated with BMS or DES implantation, DAPT should be given for at least 12 months. After one year, may stop P2Y inhibitor but continue aspirin indefinitely. 12 • If stents placed for stable coronary artery disease (scheduled catheterization rather than ACS) • After BMS implantation, DAPT for at least 1 month • After DES implantation, DAPT for at least 6 months P2Y inhibitors / anti-platelet drugs 12 • Clopidogrel (Plavix) • Prodrug - metabolized to active form by CYP2C . Poor metabolizers or 19 concomitant use of 2C inhibitors risk failure due to non-activation. 19 • Common 2C inhibitors: fluconazole, fluoxetine, fluvoxamine, 19 omeprazole (less significant inhibition) • Prasugrel (Effient) • Also a prodrug, but is more efficiently converted to its active metabolite, without impact from genetic variation in CYP activity or drug interactions. • Ticagrelor (Brilinta) • Associated with the most consistently high and least variable levels of platelet inhibition during long-term maintenance therapy compared with clopidogrel and prasugrel. Coronary artery bypass graft (CABG) Improved survival for: • Left main coronary artery stenosis • 3-vessel disease with abnormal left ventricular function (LVEF <50%) • 2- or 3-vessel disease with >75% stenosis of the proximal left anterior descending artery (LAD). • Patients with diabetes have better 8-year survival with CABG than with PTCA. • After CABG, DAPT for >1 year to reduce risk of graft occlusion Acutely: • If coronary anatomy is not suitable for PCI",Intravenous metoprolol,Intravenous fibrinolysis within 2 hours,Oral enteric-coated aspirin 81 mg,Oral chewable aspirin (162-325 mg),Acute Coronary Syndrome,0.417
