Year,QuestionNum,QuestionID,ClinicalCategory
2022,1,Q2022-001,Adult Medicine
2022,2,Q2022-002,Adult Medicine
2022,3,Q2022-003,Adult Medicine
2022,4,Q2022-004,Care of the Elderly
2022,5,Q2022-005,Adult Medicine
2022,6,Q2022-006,Adult Medicine
2022,7,Q2022-007,Maternity Care
2022,8,Q2022-008,Adult Medicine
2022,9,Q2022-009,Community Medicine
2022,10,Q2022-010,Adult Medicine
2022,11,Q2022-011,Emergent & Urgent Care
2022,12,Q2022-012,Care of the Female Patient
2022,13,Q2022-013,Adult Medicine
2022,14,Q2022-014,Adult Medicine
2022,15,Q2022-015,Adult Medicine
2022,16,Q2022-016,Adult Medicine
2022,17,Q2022-017,Adult Medicine
2022,18,Q2022-018,Adult Medicine
2022,19,Q2022-019,Care of Children and Adolescents
2022,20,Q2022-020,Adult Medicine
2022,21,Q2022-021,Adult Medicine
2022,22,Q2022-022,Mental Health
2022,23,Q2022-023,Adult Medicine
2022,24,Q2022-024,Adult Medicine
2022,25,Q2022-025,Adult Medicine
2022,26,Q2022-026,Maternity Care
2022,27,Q2022-027,Care of the Elderly
2022,28,Q2022-028,Adult Medicine
2022,29,Q2022-029,Adult Medicine
2022,30,Q2022-030,Adult Medicine
2022,31,Q2022-031,Emergent & Urgent Care
2022,32,Q2022-032,Adult Medicine
2022,33,Q2022-033,Adult Medicine
2022,34,Q2022-034,Adult Medicine
2022,35,Q2022-035,Mental Health
2022,36,Q2022-036,Adult Medicine
2022,37,Q2022-037,Adult Medicine
2022,38,Q2022-038,Mental Health
2022,39,Q2022-039,Adult Medicine
2022,40,Q2022-040,Mental Health
2022,41,Q2022-041,Care of Children and Adolescents
2022,42,Q2022-042,Care of the Elderly
2022,43,Q2022-043,Adult Medicine
2022,44,Q2022-044,Mental Health
2022,45,Q2022-045,Care of the Elderly
2022,46,Q2022-046,Adult Medicine
2022,47,Q2022-047,Maternity Care
2022,48,Q2022-048,Adult Medicine
2022,49,Q2022-049,Adult Medicine
2022,50,Q2022-050,Adult Medicine
2022,51,Q2022-051,Care of the Elderly
2022,52,Q2022-052,Community Medicine
2022,53,Q2022-053,Adult Medicine
2022,54,Q2022-054,Care of the Female Patient
2022,55,Q2022-055,Mental Health
2022,56,Q2022-056,Adult Medicine
2022,57,Q2022-057,Mental Health
2022,58,Q2022-058,Adult Medicine
2022,59,Q2022-059,Mental Health
2022,60,Q2022-060,Adult Medicine
2022,61,Q2022-061,Adult Medicine
2022,62,Q2022-062,Adult Medicine
2022,64,Q2022-064,Community Medicine
2022,65,Q2022-065,Maternity Care
2022,66,Q2022-066,Emergent & Urgent Care
2022,67,Q2022-067,Care of Children and Adolescents
2022,68,Q2022-068,Adult Medicine
2022,69,Q2022-069,Adult Medicine
2022,70,Q2022-070,Adult Medicine
2022,71,Q2022-071,Adult Medicine
2022,72,Q2022-072,Mental Health
2022,73,Q2022-073,Community Medicine
2022,74,Q2022-074,Emergent & Urgent Care
2022,75,Q2022-075,Adult Medicine
2022,76,Q2022-076,Adult Medicine
2022,77,Q2022-077,Adult Medicine
2022,78,Q2022-078,Adult Medicine
2022,79,Q2022-079,Adult Medicine
2022,80,Q2022-080,Maternity Care
2022,81,Q2022-081,Adult Medicine
2022,82,Q2022-082,Care of Children and Adolescents
2022,83,Q2022-083,Care of the Elderly
2022,84,Q2022-084,Adult Medicine
2022,85,Q2022-085,Adult Medicine
2022,86,Q2022-086,Care of the Surgical Patient
2022,87,Q2022-087,Community Medicine
2022,88,Q2022-088,Care of the Female Patient
2022,89,Q2022-089,Care of Children and Adolescents
2022,90,Q2022-090,Adult Medicine
2022,91,Q2022-091,Adult Medicine
2022,92,Q2022-092,Mental Health
2022,93,Q2022-093,Adult Medicine
2022,94,Q2022-094,Adult Medicine
2022,95,Q2022-095,Adult Medicine
2022,96,Q2022-096,Care of the Female Patient
2022,98,Q2022-098,Maternity Care
2022,99,Q2022-099,Adult Medicine
2022,100,Q2022-100,Community Medicine
2022,101,Q2022-101,Adult Medicine
2022,102,Q2022-102,Adult Medicine
2022,103,Q2022-103,Adult Medicine
2022,104,Q2022-104,Care of Children and Adolescents
2022,105,Q2022-105,Care of the Elderly
2022,106,Q2022-106,Adult Medicine
2022,107,Q2022-107,Adult Medicine
2022,108,Q2022-108,Care of Children and Adolescents
2022,109,Q2022-109,Adult Medicine
2022,110,Q2022-110,Emergent & Urgent Care
2022,111,Q2022-111,Adult Medicine
2022,112,Q2022-112,Care of the Female Patient
2022,113,Q2022-113,Adult Medicine
2022,114,Q2022-114,Adult Medicine
2022,115,Q2022-115,Adult Medicine
2022,116,Q2022-116,Care of the Elderly
2022,117,Q2022-117,Emergent & Urgent Care
2022,118,Q2022-118,Mental Health
2022,119,Q2022-119,Adult Medicine
2022,120,Q2022-120,Care of Children and Adolescents
2022,121,Q2022-121,Care of Children and Adolescents
2022,122,Q2022-122,Adult Medicine
2022,123,Q2022-123,Adult Medicine
2022,124,Q2022-124,Adult Medicine
2022,125,Q2022-125,Adult Medicine
2022,126,Q2022-126,Adult Medicine
2022,127,Q2022-127,Care of the Female Patient
2022,128,Q2022-128,Care of the Surgical Patient
2022,129,Q2022-129,Mental Health
2022,130,Q2022-130,Adult Medicine
2022,131,Q2022-131,Adult Medicine
2022,132,Q2022-132,Care of the Elderly
2022,133,Q2022-133,Community Medicine
2022,134,Q2022-134,Adult Medicine
2022,135,Q2022-135,Adult Medicine
2022,136,Q2022-136,Adult Medicine
2022,137,Q2022-137,Adult Medicine
2022,139,Q2022-139,Adult Medicine
2022,140,Q2022-140,Adult Medicine
2022,141,Q2022-141,Care of Children and Adolescents
2022,142,Q2022-142,Emergent & Urgent Care
2022,143,Q2022-143,Adult Medicine
2022,144,Q2022-144,Community Medicine
2022,145,Q2022-145,Adult Medicine
2022,146,Q2022-146,Mental Health
2022,147,Q2022-147,Adult Medicine
2022,148,Q2022-148,Care of Children and Adolescents
2022,149,Q2022-149,Emergent & Urgent Care
2022,150,Q2022-150,Adult Medicine
2022,151,Q2022-151,Adult Medicine
2022,152,Q2022-152,Maternity Care
2022,153,Q2022-153,Community Medicine
2022,154,Q2022-154,Adult Medicine
2022,155,Q2022-155,Adult Medicine
2022,156,Q2022-156,Adult Medicine
2022,158,Q2022-158,Adult Medicine
2022,159,Q2022-159,Care of Children and Adolescents
2022,160,Q2022-160,Care of Children and Adolescents
2022,161,Q2022-161,Adult Medicine
2022,162,Q2022-162,Adult Medicine
2022,163,Q2022-163,Adult Medicine
2022,164,Q2022-164,Adult Medicine
2022,165,Q2022-165,Care of Children and Adolescents
2022,167,Q2022-167,Community Medicine
2022,168,Q2022-168,Adult Medicine
2022,169,Q2022-169,Adult Medicine
2022,170,Q2022-170,Adult Medicine
2022,171,Q2022-171,Care of Children and Adolescents
2022,172,Q2022-172,Adult Medicine
2022,173,Q2022-173,Adult Medicine
2022,174,Q2022-174,Mental Health
2022,175,Q2022-175,Care of the Female Patient
2022,176,Q2022-176,Care of Children and Adolescents
2022,177,Q2022-177,Adult Medicine
2022,178,Q2022-178,Community Medicine
2022,179,Q2022-179,Adult Medicine
2022,180,Q2022-180,Adult Medicine
2022,181,Q2022-181,Adult Medicine
2022,182,Q2022-182,Adult Medicine
2022,183,Q2022-183,Mental Health
2022,184,Q2022-184,Adult Medicine
2022,185,Q2022-185,Adult Medicine
2022,186,Q2022-186,Adult Medicine
2022,187,Q2022-187,Adult Medicine
2022,188,Q2022-188,Adult Medicine
2022,189,Q2022-189,Adult Medicine
2022,190,Q2022-190,Care of Children and Adolescents
2022,191,Q2022-191,Adult Medicine
2022,192,Q2022-192,Maternity Care
2022,193,Q2022-193,Adult Medicine
2022,194,Q2022-194,Adult Medicine
2022,195,Q2022-195,Adult Medicine
2022,196,Q2022-196,Adult Medicine
2022,197,Q2022-197,Emergent & Urgent Care
2022,198,Q2022-198,Community Medicine
2022,199,Q2022-199,Adult Medicine
2022,200,Q2022-200,Maternity Care
2023,1,Q2023-001,Emergent & Urgent Care
2023,2,Q2023-002,Adult Medicine
2023,3,Q2023-003,Adult Medicine
2023,4,Q2023-004,Care of the Elderly
2023,5,Q2023-005,Adult Medicine
2023,6,Q2023-006,Adult Medicine
2023,7,Q2023-007,Adult Medicine
2023,8,Q2023-008,Adult Medicine
2023,9,Q2023-009,Adult Medicine
2023,10,Q2023-010,Adult Medicine
2023,11,Q2023-011,Adult Medicine
2023,12,Q2023-012,Adult Medicine
2023,13,Q2023-013,Emergent & Urgent Care
2023,14,Q2023-014,Adult Medicine
2023,15,Q2023-015,Care of the Elderly
2023,16,Q2023-016,Adult Medicine
2023,17,Q2023-017,Adult Medicine
2023,18,Q2023-018,Adult Medicine
2023,19,Q2023-019,Community Medicine
2023,20,Q2023-020,Emergent & Urgent Care
2023,21,Q2023-021,Adult Medicine
2023,22,Q2023-022,Care of the Elderly
2023,23,Q2023-023,Care of Children and Adolescents
2023,24,Q2023-024,Adult Medicine
2023,25,Q2023-025,Adult Medicine
2023,26,Q2023-026,Adult Medicine
2023,27,Q2023-027,Adult Medicine
2023,28,Q2023-028,Adult Medicine
2023,29,Q2023-029,Emergent & Urgent Care
2023,30,Q2023-030,Adult Medicine
2023,31,Q2023-031,Care of Children and Adolescents
2023,32,Q2023-032,Adult Medicine
2023,33,Q2023-033,Adult Medicine
2023,34,Q2023-034,Mental Health
2023,35,Q2023-035,Adult Medicine
2023,36,Q2023-036,Adult Medicine
2023,37,Q2023-037,Adult Medicine
2023,38,Q2023-038,Care of Children and Adolescents
2023,39,Q2023-039,Adult Medicine
2023,40,Q2023-040,Mental Health
2023,41,Q2023-041,Adult Medicine
2023,42,Q2023-042,Adult Medicine
2023,43,Q2023-043,Adult Medicine
2023,44,Q2023-044,Adult Medicine
2023,45,Q2023-045,Adult Medicine
2023,46,Q2023-046,Adult Medicine
2023,47,Q2023-047,Care of Children and Adolescents
2023,48,Q2023-048,Adult Medicine
2023,49,Q2023-049,Emergent & Urgent Care
2023,50,Q2023-050,Adult Medicine
2023,51,Q2023-051,Adult Medicine
2023,52,Q2023-052,Adult Medicine
2023,53,Q2023-053,Adult Medicine
2023,54,Q2023-054,Care of the Elderly
2023,55,Q2023-055,Care of the Elderly
2023,56,Q2023-056,Care of Children and Adolescents
2023,57,Q2023-057,Maternity Care
2023,58,Q2023-058,Adult Medicine
2023,59,Q2023-059,Adult Medicine
2023,60,Q2023-060,Adult Medicine
2023,61,Q2023-061,Adult Medicine
2023,62,Q2023-062,Adult Medicine
2023,63,Q2023-063,Adult Medicine
2023,64,Q2023-064,Adult Medicine
2023,65,Q2023-065,Adult Medicine
2023,66,Q2023-066,Adult Medicine
2023,68,Q2023-068,Adult Medicine
2023,69,Q2023-069,Emergent & Urgent Care
2023,70,Q2023-070,Adult Medicine
2023,71,Q2023-071,Care of Children and Adolescents
2023,72,Q2023-072,Mental Health
2023,73,Q2023-073,Adult Medicine
2023,74,Q2023-074,Adult Medicine
2023,75,Q2023-075,Adult Medicine
2023,76,Q2023-076,Emergent & Urgent Care
2023,77,Q2023-077,Adult Medicine
2023,78,Q2023-078,Adult Medicine
2023,79,Q2023-079,Adult Medicine
2023,80,Q2023-080,Emergent & Urgent Care
2023,81,Q2023-081,Adult Medicine
2023,82,Q2023-082,Adult Medicine
2023,83,Q2023-083,Community Medicine
2023,84,Q2023-084,Adult Medicine
2023,85,Q2023-085,Adult Medicine
2023,86,Q2023-086,Care of Children and Adolescents
2023,87,Q2023-087,Community Medicine
2023,88,Q2023-088,Care of the Female Patient
2023,89,Q2023-089,Adult Medicine
2023,90,Q2023-090,Adult Medicine
2023,91,Q2023-091,Adult Medicine
2023,92,Q2023-092,Mental Health
2023,93,Q2023-093,Care of Children and Adolescents
2023,94,Q2023-094,Adult Medicine
2023,95,Q2023-095,Adult Medicine
2023,96,Q2023-096,Emergent & Urgent Care
2023,97,Q2023-097,Adult Medicine
2023,98,Q2023-098,Adult Medicine
2023,99,Q2023-099,Adult Medicine
2023,100,Q2023-100,Community Medicine
2023,101,Q2023-101,Adult Medicine
2023,102,Q2023-102,Adult Medicine
2023,103,Q2023-103,Care of Children and Adolescents
2023,104,Q2023-104,Adult Medicine
2023,105,Q2023-105,Mental Health
2023,106,Q2023-106,Adult Medicine
2023,107,Q2023-107,Adult Medicine
2023,108,Q2023-108,Adult Medicine
2023,109,Q2023-109,Adult Medicine
2023,110,Q2023-110,Adult Medicine
2023,111,Q2023-111,Care of Children and Adolescents
2023,112,Q2023-112,Care of the Female Patient
2023,113,Q2023-113,Adult Medicine
2023,114,Q2023-114,Adult Medicine
2023,115,Q2023-115,Adult Medicine
2023,116,Q2023-116,Care of the Elderly
2023,117,Q2023-117,Adult Medicine
2023,118,Q2023-118,Care of Children and Adolescents
2023,119,Q2023-119,Adult Medicine
2023,120,Q2023-120,Adult Medicine
2023,121,Q2023-121,Adult Medicine
2023,122,Q2023-122,Adult Medicine
2023,123,Q2023-123,Adult Medicine
2023,124,Q2023-124,Adult Medicine
2023,125,Q2023-125,Adult Medicine
2023,126,Q2023-126,Adult Medicine
2023,127,Q2023-127,Care of the Female Patient
2023,128,Q2023-128,Adult Medicine
2023,130,Q2023-130,Adult Medicine
2023,131,Q2023-131,Care of Children and Adolescents
2023,132,Q2023-132,Adult Medicine
2023,133,Q2023-133,Community Medicine
2023,134,Q2023-134,Adult Medicine
2023,135,Q2023-135,Adult Medicine
2023,136,Q2023-136,Adult Medicine
2023,137,Q2023-137,Care of Children and Adolescents
2023,138,Q2023-138,Emergent & Urgent Care
2023,139,Q2023-139,Adult Medicine
2023,140,Q2023-140,Adult Medicine
2023,141,Q2023-141,Adult Medicine
2023,142,Q2023-142,Adult Medicine
2023,143,Q2023-143,Adult Medicine
2023,144,Q2023-144,Adult Medicine
2023,145,Q2023-145,Adult Medicine
2023,146,Q2023-146,Mental Health
2023,147,Q2023-147,Adult Medicine
2023,148,Q2023-148,Adult Medicine
2023,149,Q2023-149,Adult Medicine
2023,150,Q2023-150,Adult Medicine
2023,151,Q2023-151,Care of the Elderly
2023,152,Q2023-152,Care of the Female Patient
2023,153,Q2023-153,Maternity Care
2023,154,Q2023-154,Adult Medicine
2023,155,Q2023-155,Emergent & Urgent Care
2023,156,Q2023-156,Care of Children and Adolescents
2023,157,Q2023-157,Adult Medicine
2023,158,Q2023-158,Adult Medicine
2023,159,Q2023-159,Mental Health
2023,160,Q2023-160,Care of the Elderly
2023,161,Q2023-161,Adult Medicine
2023,162,Q2023-162,Adult Medicine
2023,163,Q2023-163,Adult Medicine
2023,164,Q2023-164,Adult Medicine
2023,165,Q2023-165,Adult Medicine
2023,166,Q2023-166,Care of the Surgical Patient
2023,167,Q2023-167,Care of the Elderly
2023,168,Q2023-168,Adult Medicine
2023,169,Q2023-169,Adult Medicine
2023,170,Q2023-170,Adult Medicine
2023,171,Q2023-171,Adult Medicine
2023,172,Q2023-172,Care of the Elderly
2023,173,Q2023-173,Adult Medicine
2023,174,Q2023-174,Adult Medicine
2023,175,Q2023-175,Care of the Female Patient
2023,176,Q2023-176,Adult Medicine
2023,177,Q2023-177,Emergent & Urgent Care
2023,178,Q2023-178,Adult Medicine
2023,179,Q2023-179,Adult Medicine
2023,180,Q2023-180,Adult Medicine
2023,181,Q2023-181,Emergent & Urgent Care
2023,182,Q2023-182,Adult Medicine
2023,183,Q2023-183,Mental Health
2023,184,Q2023-184,Adult Medicine
2023,185,Q2023-185,Emergent & Urgent Care
2023,186,Q2023-186,Care of the Elderly
2023,187,Q2023-187,Adult Medicine
2023,188,Q2023-188,Adult Medicine
2023,189,Q2023-189,Adult Medicine
2023,190,Q2023-190,Adult Medicine
2023,191,Q2023-191,Adult Medicine
2023,192,Q2023-192,Maternity Care
2023,193,Q2023-193,Adult Medicine
2023,194,Q2023-194,Adult Medicine
2023,195,Q2023-195,Adult Medicine
2023,196,Q2023-196,Mental Health
2023,197,Q2023-197,Adult Medicine
2023,198,Q2023-198,Community Medicine
2023,199,Q2023-199,Adult Medicine
2023,200,Q2023-200,Adult Medicine
