session_number,session_name,subcategory_matches
2,Peripheral Vascular Disease,"Peripheral Arterial Disease,Abdominal Aortic Aneurysm,Deep Vein Thrombosis Management,Venous Thromboembolism Management,Acute Limb Ischemia"
3,Acute Coronary Syndrome & Hyperlipidemia,"Acute Coronary Syndrome,Stable Angina Management,Cardiovascular Risk Reduction,Smoking Cessation Counseling,Cardiovascular Disease Prevention"
4,Hypertension,"Hypertension Management,Cardiovascular Risk Reduction,Cardiovascular Risk Assessment,Orthostatic Hypotension"
5,Heart Failure,"Heart Failure Management,Heart Failure with Reduced Ejection Fraction,Severe Hyponatremia Management"
6,Managing Dysrhythmias,"Atrial Fibrillation Stroke Prevention,Atrial Fibrillation Anticoagulation,Supraventricular Tachycardia"
7,Health Promotion & Prevention,"Lung Cancer Screening,Cervical Cancer Screening,Alcohol Use Screening and Intervention,HIV Screening,Depression Screening,Adolescent Depression Screening,Colorectal Cancer Screening,Breast Cancer Screening,Influenza Vaccination,Tuberculosis Screening,Abdominal Aortic Aneurysm Screening,Prostate Cancer Screening"
8,Epidemiology & Medical Literature,"Cardiovascular Risk Assessment,Breast Cancer Screening,Influenza Vaccination"
9,Managing Common Cutaneous Problems,"Postinflammatory Hyperpigmentation,Hidradenitis Suppurativa,Onychomycosis Treatment,Hand-Foot-and-Mouth Disease,Hordeolum (Stye) Management,Trigeminal Neuralgia"
10,Emergency Medicine I,"Acute Coronary Syndrome,Sepsis Management,Anaphylaxis Management,Acute Limb Ischemia,Severe Hyponatremia Management,Acute Ischemic Stroke Management,Pulmonary Embolism Diagnosis"
11,Emergency Medicine II,"Serotonin Syndrome,Superior Vena Cava Syndrome,Hypothermia Management,Acute Asthma Exacerbation"
12,Emergency Medicine III,"Deep Vein Thrombosis Management,Pulmonary Embolism Diagnosis,Acute Pancreatitis Management,Alcohol Withdrawal Syndrome,Delirium Management"
13,Obesity & Metabolic Syndrome,"Bariatric Surgery and Obesity,Type 2 Diabetes Management"
14,Diabetes Mellitus,"Type 2 Diabetes Management,Type 2 Diabetes Diagnosis,Cardiovascular Risk in Diabetes,Type 1 Diabetes Management"
15,Endocrine Diseases,"Thyroid Nodule Evaluation,Primary Hyperparathyroidism,Hirsutism Management,Vitamin B12 Deficiency,Polycystic Ovary Syndrome"
16,Lower GI Tract Diseases,"Celiac Disease Diagnosis,Diverticulitis Management"
17,Upper GI Tract Diseases,"Acute Pancreatitis Management,Nonalcoholic Fatty Liver Disease"
18,Geriatrics I: Systems of Care & Cognitive Impairment,"Delirium Management,Insomnia Management"
